HEAD	PHRASE	FREQ
bodies	bodies of <M>	2988
<M>	working <M>	2988
<W>	<W> have	2981
<W>	muslim <W>	2956
faces	faces of <M>	2952
gods	gods and <M>	2912
<M>	new <M>	2911
names	names of <M>	2905
force	force of <M>	2896
<M>	her <M>	2868
<W>	younger <W>	2866
lives	<W> 's lives	2846
rest	rest of <M>	2838
<W>	<W> were	2787
<M>	thousand <M>	2762
<M>	we <M>	2755
<M>	thirty <M>	2754
<W>	single <W>	2729
<M>	scientific <M>	2722
<M>	best <M>	2721
majority	majority of <W>	2704
status	status of <W>	2702
<M>	literary <M>	2666
<M>	public <M>	2666
students	<W> students	2661
voice	<W> voice	2657
<M>	hundred <M>	2643
<M>	<M> of world	2632
<M>	enlisted <M>	2617
<M>	<M> s	2608
<W>	no <W>	2606
<M>	married <M>	2590
lot	lot of <W>	2590
<M>	all other <M>	2586
work	work of <M>	2569
<W>	his <W>	2555
<M>	military <M>	2554
<M>	our young <M>	2546
<W>	only <W>	2513
<W>	several <W>	2508
<M>	christian <M>	2451
<M>	his fellow <M>	2448
<M>	<M> knew	2447
millions	millions of <M>	2437
sex	<M> sex	2432
<W>	you <W>	2427
body	<W> body	2425
counterparts	their <M> counterparts	2402
work	<W> 's work	2346
sight	sight of <M>	2341
<W>	her <W>	2334
boys	boys and <M>	2333
<M>	<M> and animals	2310
<W>	good <W>	2307
part	part of <M>	2285
thousands	thousands of <W>	2281
head	head of <M>	2267
loss	loss of <M>	2250
<M>	two other <M>	2221
souls	<M> 's souls	2211
education	<W> education	2193
<M>	fifteen <M>	2189
<M>	nearly <M>	2186
<M>	living <M>	2182
<M>	forty <M>	2173
<W>	four <W>	2153
mass	mass of <M>	2151
issues	<W> 's issues	2151
<W>	<W> of color	2144
<W>	working <W>	2141
<W>	class <W>	2091
number	large number of <M>	2089
groups	groups of <M>	2075
<M>	union <M>	2071
race	race of <M>	2054
sexuality	<W> sexuality	2034
<M>	common <M>	2022
<M>	<M> made	2021
<M>	nine <M>	2008
plenty	plenty of <M>	2005
<M>	mortal <M>	1995
presence	presence of <M>	1988
affairs	affairs of <M>	1976
<M>	fighting <M>	1952
teachers	<W> teachers	1945
studies	<W> 's studies	1943
<M>	little <M>	1941
<M>	better <M>	1940
beauty	<W> beauty	1935
handful	handful of <M>	1935
<M>	all his <M>	1922
<W>	two young <W>	1918
rights	rights of <W>	1912
<W>	<W> and percent	1904
room	<M> 's room	1901
<M>	different <M>	1899
<M>	<M> engaged	1899
lives	<M> 's lives	1872
<M>	all good <M>	1864
band	band of <M>	1859
<M>	professional <M>	1853
crew	crew of <M>	1850
society	society of <M>	1841
<M>	are <M>	1829
<M>	<M> of character	1820
<M>	evil <M>	1820
voice	<M> voice	1819
<M>	same <M>	1814
<W>	native <W>	1813
<M>	<M> know	1795
<M>	all young <M>	1785
position	position of <W>	1769
case	case of <M>	1762
<M>	any <M>	1757
voices	voices of <M>	1746
<M>	many young <M>	1739
<M>	<M> had been	1738
<M>	grown <M>	1726
<M>	<M> employed	1719
<M>	<M> in general	1717
<M>	practical <M>	1711
<M>	<M> working	1701
<M>	its <M>	1683
<M>	real <M>	1674
<M>	single <M>	1655
<M>	other two <M>	1642
<W>	adult <W>	1634
<W>	one <W>	1628
<M>	american <M>	1613
actions	actions of <M>	1598
<M>	educated <M>	1597
bodies	<W> 's bodies	1593
case	case of <W>	1589
gender	<M> gender	1588
gender	<W> gender	1587
life	life of <M>	1577
<M>	<M> came	1545
<M>	individual <M>	1543
<W>	pretty <W>	1537
role	role of <W>	1532
students	<M> students	1519
<M>	able <M>	1516
<W>	your <W>	1516
<M>	sixty <M>	1511
eyes	<M> 's eyes	1505
<W>	five <W>	1489
<M>	that <M>	1489
<W>	<W> with cancer	1488
<M>	<M> of rank	1487
<M>	<M> themselves	1485
<M>	all three <M>	1480
thoughts	thoughts of <M>	1477
<M>	<M> of ability	1474
<W>	<W> had	1463
<W>	especially <W>	1458
<M>	adult <M>	1450
spirits	spirits of <M>	1448
suffrage	<W> 's suffrage	1440
<M>	other young <M>	1440
<M>	two old <M>	1438
<M>	big <M>	1437
<W>	jewish <W>	1435
<M>	<M> of learning	1434
<M>	certain <M>	1433
groups	<W> 's groups	1431
<W>	rural <W>	1429
heads	heads of <M>	1428
<M>	<M> living	1427
opinions	opinions of <M>	1425
<W>	<W> of age	1419
<M>	three young <M>	1419
presence	presence of <W>	1414
<M>	our own <M>	1409
<M>	just <M>	1401
health	<W> 's health	1401
<W>	battered <W>	1396
child	<M> child	1395
<M>	<M> and money	1392
<W>	<W> and minorities	1385
<M>	newspaper <M>	1384
<W>	unmarried <W>	1376
numbers	numbers of <M>	1375
attention	attention of <M>	1370
leader	leader of <M>	1369
<M>	<M> standing	1368
form	<W> form	1366
character	<W> character	1358
<W>	chinese <W>	1355
<M>	colored <M>	1353
<W>	elderly <W>	1341
mind	<W> mind	1336
slaves	<W> slaves	1334
memory	memory of <M>	1328
<M>	african american <M>	1316
character	character of <M>	1307
<M>	king 's <M>	1304
<W>	all other <W>	1299
<W>	<W> working	1298
prisoners	<W> prisoners	1280
<W>	<W> themselves	1272
characters	<W> characters	1262
organizations	<W> 's organizations	1262
score	score of <M>	1261
<M>	<M> of business	1249
voices	<M> 's voices	1244
<M>	<M> make	1243
writers	<W> writers	1241
children	children and <W>	1237
<W>	its <W>	1226
<W>	even <W>	1225
<M>	eminent <M>	1222
children	<M> children	1219
<M>	<M> live	1215
<M>	blind <M>	1215
employment	employment of <W>	1214
<M>	religious <M>	1212
<M>	intelligent <M>	1211
<W>	educated <W>	1205
<M>	<M> do	1204
<M>	<M> of age	1202
characters	characters of <M>	1202
<M>	leading <M>	1200
<M>	their fellow <M>	1198
<W>	japanese <W>	1198
daughters	daughters of <M>	1197
<M>	strange <M>	1194
<M>	aged <M>	1193
<M>	<M> of sense	1191
<M>	distinguished <M>	1187
candidates	<W> candidates	1180
<M>	mounted <M>	1179
<M>	<M> lived	1177
rights	rights of <M>	1174
patients	<W> patients	1170
<M>	<M> was	1169
proportion	proportion of <W>	1167
<M>	civilized <M>	1166
<M>	two white <M>	1166
conduct	conduct of <M>	1165
strength	strength of <M>	1160
line	<M> line	1156
none	none of <W>	1151
<W>	african <W>	1145
<W>	premenopausal <W>	1144
manner	manner of <M>	1143
figure	<W> figure	1141
<M>	their own <M>	1135
<M>	over <M>	1135
<W>	<W> in general	1134
<M>	than <M>	1128
<M>	sick <M>	1124
<M>	us <M>	1124
<M>	elderly <M>	1119
education	<W> 's education	1118
liberation	<W> 's liberation	1118
lots	lots of <M>	1110
education	education of <W>	1108
<M>	medicine <M>	1107
<M>	<M> like you	1105
<W>	their <W> and children	1102
company	company of <W>	1101
line	line of <M>	1098
ways	ways of <M>	1097
<W>	christian <W>	1094
horses	horses and <M>	1083
voices	<W> 's voices	1082
line	<W> line	1079
set	set of <M>	1072
employees	<W> employees	1069
<M>	wild <M>	1067
dominance	<M> dominance	1066
<M>	<M> work	1065
<W>	english <W>	1064
blood	blood of <M>	1062
<M>	<M> worked	1062
<W>	any <W>	1061
<M>	sinful <M>	1055
<W>	<W> living	1053
scores	scores of <M>	1052
kind	kind of <M>	1045
hundreds	hundreds of <W>	1044
<W>	aged <W>	1039
athletes	<W> athletes	1033
<M>	<M> and angels	1032
<M>	10,000 <M>	1029
<M>	20,000 <M>	1022
<W>	french <W>	1016
<M>	<M> than	1014
<M>	<M> and beasts	1010
multitude	multitude of <M>	1009
faces	<M> 's faces	1005
light	light of <M>	1003
hands	<M> 's hands	1003
figures	figures of <M>	1003
discrimination	discrimination against <W>	1002
<W>	local <W>	1000
masses	masses of <M>	999
workers	<M> workers	996
<M>	emboitement <M>	994
<M>	true <M>	992
<M>	his young <M>	988
<M>	<M> in world	987
experiences	experiences of <W>	986
<M>	some young <M>	974
<M>	<M> of wealth	973
officers	both officers and <M>	972
<M>	all great <M>	966
<M>	eleven <M>	964
<M>	wealthy <M>	957
<M>	<M> have been	957
passions	passions of <M>	954
servants	<W> servants	953
<M>	<M> did	949
<M>	clever <M>	946
<M>	desperate <M>	945
rats	<M> rats	945
<M>	<M> fought	944
contact	contact with <M>	943
<M>	minded <M>	941
<M>	college <M>	940
<M>	both young <M>	936
millions	millions of <W>	933
<M>	<M> as	929
works	works of <M>	928
children	<W> children	922
<M>	drunken <M>	922
<M>	dying <M>	920
front	front of <M>	920
<M>	<M> and nations	919
<W>	<W> with children	918
number	great number of <M>	917
<M>	<M> of class	914
<M>	<M> coming	914
haunts	haunts of <M>	914
<M>	most young <M>	911
difference	difference between <M>	908
sorts	all sorts and conditions of <M>	906
<W>	<W> aged	905
<M>	<M> on earth	905
body	<M> body	905
<M>	sixteen <M>	903
bird	<M> bird	902
salvation	salvation of <M>	902
magazines	<W> 's magazines	900
<M>	northern <M>	900
<M>	my young <M>	899
<M>	<M> being	896
<M>	<M> of war	894
population	<M> population	892
numbers	large numbers of <M>	890
<M>	their young <M>	888
plenty	plenty of <W>	888
garrison	garrison of <M>	886
members	<W> members	883
<M>	eighty <M>	883
<M>	<M> held	882
<M>	100,000 <M>	882
<M>	thoughtful <M>	881
<W>	southern <W>	881
hands	hands of <W>	880
gang	gang of <M>	873
teachers	<M> teachers	873
<M>	our fellow <M>	871
<M>	<M> there	871
list	list of <M>	869
<M>	even <M>	867
<W>	college <W>	866
<M>	<M> are not	865
<M>	<M> love	863
<M>	<M> of talent	863
<W>	<W> in society	863
group	small group of <M>	862
leaders	<W> leaders	862
praise	praise of <M>	860
part	part of <W>	858
<M>	no two <M>	858
generations	generations of <M>	857
treatment	treatment of <W>	856
love	love of <W>	855
<M>	your young <M>	851
<M>	thinking <M>	850
<M>	<M> having	849
<M>	<M> like him	842
<M>	railroad <M>	840
body	large body of <M>	839
faces	faces of <W>	838
power	power of <M>	837
<M>	fourteen <M>	836
<M>	<M> of minds	835
<M>	<M> killed	835
eyes	eyes of <W>	835
roles	<W> 's roles	834
<M>	<M> of god	834
society	<W> society	831
dozens	dozens of <M>	827
<M>	powerful <M>	827
total	total of <M>	827
<M>	innocent <M>	827
society	society of <W>	826
<W>	<W> with syndrome	825
<M>	first <M>	824
differences	differences between <M>	823
crowds	crowds of <M>	821
<W>	my <W>	821
lots	lots of <W>	820
<W>	<W> interviewed	818
opinion	opinion of <M>	816
hearts	hearts of <W>	816
<M>	<M> on board	816
couple	couple of <W>	813
crowd	crowd of <W>	811
<M>	sensible <M>	811
<W>	menopausal <W>	808
<M>	southern <M>	807
attire	<M> attire	805
lesbians	lesbians and <M>	803
<M>	30,000 <M>	802
<W>	certain <W>	802
tongues	tongues of <M>	800
knowledge	knowledge of <M>	800
percentage	percentage of <W>	799
<M>	<M> went	799
<M>	weak <M>	797
work	<M> 's work	796
<M>	<M> is	794
<M>	<M> only	793
rats	<W> rats	792
sexuality	<W> 's sexuality	792
suffrage	<W> suffrage	791
entrepreneurs	<W> entrepreneurs	790
friends	<W> friends	789
<W>	many young <W>	789
<M>	three other <M>	789
<W>	german <W>	788
<W>	six <W>	787
patients	<M> patients	787
feet	feet of <M>	787
<W>	<W> of all ages	785
<M>	<M> wanted	784
<M>	500 <M>	780
<M>	<M> of type	776
<M>	<M> saw	773
way	way of <M>	772
<W>	asian <W>	768
clothes	<M> 's clothes	767
sins	sins of <M>	766
<M>	private <M>	765
<W>	fair <W>	763
<M>	<M> in room	762
<M>	looking <M>	761
voices	voices of <W>	758
<W>	<W> taking	758
<W>	us <W>	755
<W>	<W> involved	754
<M>	ignorant <M>	753
<M>	seventy <M>	753
shoulders	shoulders of <M>	751
<W>	slave <W>	751
<M>	<M> at work	750
child	<W> child	749
<M>	heterosexual <M>	749
<M>	<M> of action	747
empowerment	<W> 's empowerment	746
work	work of <W>	745
head	head of his <M>	745
death	death of <M>	744
consciences	consciences of <M>	743
<W>	<W> with pcos	742
images	images of <W>	742
<M>	<M> and officers	740
<W>	<W> have had	739
<M>	<M> around him	738
clothes	<W> 's clothes	737
offenders	<W> offenders	737
condition	condition of <M>	736
<M>	<M> in boat	736
<M>	<M> want	735
experience	experience of <M>	735
empowerment	empowerment of <W>	734
<M>	many good <M>	734
<M>	famous <M>	733
<M>	two <M> were	732
<M>	very <M>	731
<M>	<M> took	730
<W>	<W> with history	729
<M>	<M> enough	726
<M>	half <M>	725
circle	circle of <M>	724
condition	condition of <W>	723
<M>	<M> in power	723
number	large number of <W>	723
<M>	healthy <M>	722
wives	wives of <M>	722
<W>	<W> and people	720
<M>	local <M>	719
<M>	reasonable <M>	718
<M>	<M> think	718
<M>	unfortunate <M>	717
<M>	small <M>	715
<M>	lesser <M>	715
<W>	obese <W>	715
<W>	<W> work	715
<W>	individual <W>	713
sort	sort of <M>	713
domination	<M> domination	713
regard	regard to <W>	712
angels	angels and <M>	711
<M>	<M> sitting	711
<M>	<M> of day	710
<M>	100 <M>	709
slave	<W> slave	708
<M>	not all <M>	707
<M>	<M> below	706
<W>	<W> worked	703
multitudes	multitudes of <M>	703
<M>	<M> among <M>	702
<M>	my own <M>	701
<W>	<W> in states	701
<M>	<M> met	700
<M>	<M> accustomed	699
<M>	eighteen <M>	699
<W>	<W> in group	698
<W>	<W> having	697
<M>	class <M>	696
power	<M> power	696
<M>	<M> of israel	695
lips	lips of <M>	694
groups	groups of <W>	694
voices	<W> voices	694
<M>	trained <M>	694
<M>	<M> and manners	694
sorts	all sorts of <M>	694
<M>	all <M> in world	694
detachment	detachment of <M>	693
<W>	<W> in particular	693
<W>	peasant <W>	693
<W>	seven <W>	691
<M>	<M> stood	691
king	king of <M>	691
<W>	immigrant <W>	690
<M>	300 <M>	689
<M>	<M> here	688
fate	fate of <M>	688
regard	regard to <M>	687
circumcision	<W> circumcision	686
<M>	noble <M>	686
bodies	<M> 's bodies	682
<M>	primitive <M>	681
<M>	<M> of experience	681
<M>	<M> called	681
<W>	two old <W>	681
<M>	all white <M>	680
stories	stories of <W>	680
<M>	greatest <M>	680
<W>	mostly <W>	679
study	study of <W>	679
friends	<M> friends	679
history	history of <M>	678
<M>	<M> of power	677
upwards	upwards of <M>	677
<W>	indigenous <W>	677
<M>	<M> of education	677
<W>	about <W>	676
<W>	human <W>	676
<M>	hungry <M>	673
<M>	<M> alone	673
<M>	<M> carrying	672
<M>	200 <M>	672
<M>	<M> of honour	671
<M>	<M> sent	671
<M>	<M> used	670
<W>	<W> in countries	670
<W>	<W> in study	669
nature	nature of <M>	669
<W>	<W> only	668
<M>	all honest <M>	668
charge	charge of <M>	668
<W>	<W> of class	668
thoughts	<M> 's thoughts	668
guard	guard of <M>	668
<W>	western <W>	667
<M>	four young <M>	667
<W>	<W> of world	666
<M>	worthy <M>	665
<W>	heterosexual <W>	663
fishers	fishers of <M>	662
<W>	<W> in politics	662
<M>	<M> of means	662
judgment	judgment of <M>	661
<M>	homosexual <M>	660
<M>	enough <M>	659
needs	needs of <W>	658
voices	<M> voices	655
<M>	<M> go	655
<M>	great many <M>	654
<M>	<M> of stamp	652
<M>	<M> holding	652
services	services of <M>	652
<W>	not all <W>	651
<M>	wisest <M>	651
population	<W> population	650
<W>	holy <W>	650
<W>	<W> alone	650
<W>	that <W>	650
shoulders	<M> 's shoulders	649
<W>	foreign <W>	648
<W>	healthy <W>	648
experiences	<W> 's experiences	648
<M>	mighty <M>	647
bones	dead <M> 's bones	646
<W>	<W> love	646
heart	<W> heart	646
<M>	pious <M>	645
characters	<M> characters	643
status	<W> 's status	642
<M>	<M> of time	642
relations	relations between <M>	640
majority	great majority of <M>	639
numbers	numbers of <W>	638
<M>	<M> born	637
squad	squad of <M>	637
<M>	thirteen <M>	637
<M>	<M> were not	637
nature	<W> nature	637
mouths	mouths of <M>	634
clothing	<W> 's clothing	633
influence	influence of <M>	633
heads	<M> 's heads	632
<M>	<M> in charge	631
<W>	<W> of classes	629
heir	<M> heir	627
officers	his officers and <M>	627
<M>	you young <M>	626
<M>	<M> come	625
<M>	<M> loved	625
number	small number of <M>	624
hearts	hearts of all <M>	623
<M>	<M> dressed	621
<M>	rough <M>	619
<M>	modern <M>	618
words	words of <M>	617
<M>	such <M> as these	617
<M>	<M> belonging	617
<M>	as <M>	614
violence	<M> violence	614
oppression	oppression of <W>	612
<M>	<M> brought	611
<M>	<M> like that	610
emancipation	emancipation of <W>	610
<W>	many other <W>	610
beauty	beauty of <W>	610
<W>	<W> with disease	609
<M>	worldly <M>	609
bodies	bodies of <W>	609
flowers	<M> flowers	609
slaves	<M> slaves	608
<W>	<W> of family	606
<M>	gay <M> and lesbians	605
identity	<M> identity	605
<W>	professional <W>	605
<W>	<W> want	604
clothing	<M> 's clothing	602
movements	<W> 's movements	602
oppression	<W> 's oppression	601
<M>	<M> all	601
wisdom	wisdom of <M>	600
proportion	proportion of <M>	600
<M>	<M> running	599
<W>	european <W>	599
<M>	<M> of birth	599
language	language of <M>	599
<M>	normal <M>	599
deeds	deeds of <M>	599
<W>	<W> employed	599
body	any body of <M>	598
<M>	two more <M>	598
<W>	this <W>	596
clubs	<W> 's clubs	596
<W>	different <W>	596
<M>	tall <M>	595
generality	generality of <M>	594
<M>	<M> of generation	594
<M>	muslim <M>	593
<W>	village <W>	593
<M>	40,000 <M>	593
sexuality	<M> sexuality	592
history	history of <W>	591
<M>	ambitious <M>	591
<W>	ordinary <W>	590
virtue	<W> virtue	589
history	<W> 's history	589
<M>	righteous <M>	588
love	love of <M>	588
<M>	indian <M>	587
principle	<W> principle	587
<M>	<M> thought	586
<M>	jewish <M>	586
numbers	large numbers of <W>	586
behalf	behalf of <W>	585
relations	relations of <M>	585
activists	<W> activists	584
<W>	<W> seeking	583
<M>	<M> of intelligence	582
<M>	another <M>	581
<W>	<W> with diabetes	581
<M>	<M> more	580
<M>	ungodly <M>	579
<M>	mountain <M>	576
stories	stories of <M>	575
<M>	not <M>	574
<W>	<W> using	574
<M>	many great <M>	573
command	command of <M>	573
<M>	our best <M>	571
names	names of <W>	569
feelings	feelings of <M>	569
<M>	<M> of courage	568
<M>	few young <M>	567
<W>	naked <W>	566
<M>	all our <M>	566
knot	knot of <M>	564
generation	generation of <M>	564
<W>	<W> than	563
<M>	<M> wrote	563
peace	peace with all <M>	562
<W>	two other <W>	562
<W>	<W> are not	561
patient	<W> patient	561
<W>	mexican <W>	561
<M>	50,000 <M>	560
<M>	<M> in uniform	558
<M>	million <M>	557
spirit	spirit of <M>	557
infanticide	<W> infanticide	557
<W>	all <W> and children	557
<M>	slavery <M>	556
<M>	honorable <M>	555
<M>	unmarried <M>	555
<M>	<M> had come	553
<M>	<M> of blood	552
power	<W> power	551
<W>	ten <W>	551
writings	writings of <M>	551
<M>	busy <M>	550
<M>	<M> of race	549
<M>	400 <M>	549
<M>	<M> of family	548
<M>	<M> left	548
ears	ears of <M>	548
authority	<M> authority	548
<M>	<M> capable	547
classes	all classes of <M>	547
<M>	all my <M>	547
story	story of <M>	546
employment	<W> 's employment	546
inmates	<W> inmates	546
<M>	<M> wearing	545
<M>	illustrious <M>	544
<M>	an adult <M>	541
<M>	<M> in suits	541
<M>	handsome <M>	540
<M>	<M> going	538
<M>	<M> on horseback	538
figure	<M> figure	538
artists	<W> artists	537
<M>	hired <M>	537
number	certain number of <M>	537
use	use of <M>	536
<W>	turkish <W>	535
<M>	<M> believe	535
<M>	successful <M>	534
<W>	<W> live	534
<M>	many other <M>	534
<W>	<W> came	534
<W>	<W> of childbearing	533
folks	<W> folks	533
host	host of <M>	533
ranks	ranks of <M>	533
<W>	aboriginal <W>	532
<W>	<W> receiving	532
<M>	prominent <M>	531
races	races of <M>	531
<M>	savage <M>	531
ordination	ordination of <W>	531
<M>	earnest <M>	531
<W>	real <W>	530
majority	vast majority of <M>	529
shouts	shouts of <M>	529
<M>	<M> of regiment	529
<W>	<W> being	529
appearance	appearance of <M>	529
<W>	<W> do	527
habitations	habitations of <M>	526
equality	<W> 's equality	525
<M>	<M> take	525
attire	<W> attire	524
bunch	bunch of <M>	523
testimony	testimony of <M>	522
bodies	<W> bodies	522
midst	midst of <M>	522
issue	<M> issue	521
<M>	human <M>	521
case	case with <M>	521
<W>	strong <W>	520
<W>	<W> engaged	520
<M>	<M> and dogs	519
help	help of <M>	518
<M>	virtuous <M>	518
<W>	<W> there	517
<W>	russian <W>	516
<M>	<M> of talents	516
<W>	<W> knew	516
none	none but <M>	515
<W>	our <W> and children	515
<W>	<W> in world	513
employment	<W> employment	513
<M>	60,000 <M>	512
<W>	particularly <W>	512
ratio	<W> ratio	512
number	any number of <M>	511
<M>	fewer <M>	511
<M>	<M> involved	510
bones	bones of <M>	509
<M>	superior <M>	509
<M>	right <M>	508
<W>	strange <W>	507
<M>	some other <M>	507
<W>	many <W> and children	507
<W>	<W> as	507
animals	animals and <M>	506
<M>	but <M>	506
<M>	<M> served	506
needs	needs of <M>	505
<M>	<M> of property	505
<M>	<M> of honor	505
<M>	two <M> standing	505
conversation	conversation of <M>	504
colleagues	their <M> colleagues	503
interests	interests of <M>	502
efforts	efforts of <M>	502
<M>	<M> out	502
side	<W> side	502
<M>	<M> about him	501
<M>	<M> of affairs	499
rest	rest of <W>	499
<M>	<M> of old	498
<M>	<M> in front	498
support	support of <M>	497
<M>	chief <M>	496
members	<M> members	496
<M>	our great <M>	496
opportunities	opportunities for <W>	495
mind	<M> mind	495
<M>	particular <M>	495
readers	<W> readers	494
<W>	migrant <W>	494
subordination	subordination of <W>	494
<W>	arab <W>	493
<M>	condemned <M>	492
<M>	<M> of athens	492
<M>	<M> of faith	492
influence	influence of <W>	492
<M>	<M> with cancer	491
<M>	simple <M>	491
interests	<W> 's interests	490
votes	votes for <W>	490
<W>	abused <W>	490
<M>	angry <M>	490
<M>	foolish <M>	487
friends	her <W> friends	486
<M>	university <M>	486
<W>	british <W>	486
<M>	them <M>	486
employees	<M> employees	485
<M>	all four <M>	484
<M>	experienced <M>	484
<M>	<M> had seen	484
dress	<W> dress	484
<M>	honourable <M>	484
<M>	several young <M>	484
<W>	negro <W>	484
partner	<M> partner	484
<M>	<M> trained	483
<W>	<W> of country	483
<M>	mostly <M>	483
<W>	another <W>	483
<M>	<M> and gods	482
<M>	15,000 <M>	482
identity	<W> identity	482
politicians	<W> politicians	481
<M>	<M> talking	480
<M>	laboring <M>	480
equality	equality of <M>	479
<M>	chinese <M>	479
<M>	two great <M>	478
class	class of <W>	477
<M>	bis <M>	477
influence	<W> influence	477
<M>	young <M> and maidens	476
<M>	many brave <M>	476
<W>	attractive <W>	474
<M>	seventeen <M>	474
<W>	<W> know	474
<W>	modern <W>	474
commandments	commandments of <M>	474
<M>	our public <M>	474
<W>	u.s. <W>	473
<M>	<M> fighting	473
<W>	hindu <W>	472
<M>	<M> of intellect	472
<M>	bodied <M>	471
<M>	<M> walking	471
<M>	not many <M>	470
<W>	elite <W>	470
<M>	mere <M>	470
flowers	<W> flowers	469
<W>	hispanic <W>	468
<M>	<M> of all parties	468
faces	<W> 's faces	467
<M>	this <M>	467
wages	wages of <M>	467
<M>	my fellow <M>	466
participation	participation of <W>	466
<W>	being <W>	466
<M>	loyal <M>	466
friendship	friendship of <M>	466
<M>	<M> carried	465
traditions	traditions of <M>	465
<M>	<M> have made	465
<W>	eight <W>	465
<M>	<M> in life	464
<W>	dressed <W>	463
<M>	average <M>	463
fear	fear of <M>	463
<M>	<M> known	463
<M>	most other <M>	462
<W>	refugee <W>	462
ways	ways of <W>	462
<M>	<M> followed	462
situation	situation of <W>	460
portraits	portraits of <M>	459
<W>	spanish <W>	459
participation	<W> 's participation	459
body	small body of <M>	458
<M>	godly <M>	458
<W>	<W> with disabilities	458
<M>	gallant <M>	458
<M>	<M> like these	457
homosexuality	<M> homosexuality	457
<M>	<M> on side	457
voters	<W> voters	456
mutilation	<W> genital mutilation	456
<M>	all <M> to be saved	456
<M>	12,000 <M>	455
<W>	dozen <W>	454
cries	cries of <M>	454
legislators	<W> legislators	454
<M>	western <M>	454
<W>	same <W>	453
<W>	divorced <W>	453
<M>	violent <M>	452
<M>	secret service <M>	452
empowerment	<W> empowerment	451
