HEAD	PHRASE	FREQ
loss	the loss of <M>	1267
names	the names of <M>	1262
case	the case of <M>	1258
<M>	the dead <M>	1244
<W>	five <W>	1232
case	the case of <W>	1229
<W>	its <W>	1226
<M>	the same <M>	1219
<M>	<M> engaged	1212
score	a score of <M>	1208
mind	the <W> mind	1204
<M>	their fellow <M>	1198
<M>	the <M> made	1186
actions	the actions of <M>	1181
<M>	the five <M>	1179
<M>	the king 's <M>	1175
<W>	<W> of age	1159
thoughts	the thoughts of <M>	1154
<M>	their own <M>	1135
<M>	<M> of business	1132
<M>	over <M>	1130
<W>	<W> had	1129
<M>	<M> of sense	1122
<M>	the <M> themselves	1118
children	children and <W>	1114
line	the <M> line	1113
<W>	<W> working	1107
part	the part of <M>	1105
<W>	their <W> and children	1102
<M>	<M> working	1100
<M>	<M> like you	1098
<M>	other young <M>	1094
<M>	<M> of rank	1080
<W>	<W> in general	1075
names	the names of the <M>	1074
race	a race of <M>	1070
<M>	than <M>	1065
<W>	any <W>	1061
rights	the rights of <M>	1057
presence	the presence of <W>	1055
opinions	the opinions of <M>	1051
lots	lots of <M>	1050
<M>	the enlisted <M>	1045
<M>	these great <M>	1036
line	the <W> line	1032
<M>	<M> and angels	1026
proportion	the proportion of <W>	1020
<M>	10,000 <M>	1019
voices	the voices of <M>	1018
ways	the ways of <M>	1013
<M>	20,000 <M>	1012
spirits	the spirits of <M>	1005
<M>	<M> had been	995
child	a <M> child	990
<M>	his young <M>	988
<M>	<M> and beasts	987
light	the light of <M>	981
<M>	some young <M>	974
attention	the attention of <M>	973
hundreds	hundreds of <W>	971
scores	scores of <M>	968
discrimination	discrimination against <W>	966
<W>	<W> living	965
gender	the <W> gender	956
horses	horses and <M>	955
<M>	the great <M>	950
<M>	the <M> came	948
education	the education of <W>	944
<W>	the older <W>	943
manner	the manner of <M>	935
<M>	<M> than	932
hands	the hands of the <M>	931
<W>	the two young <W>	931
officers	both officers and <M>	928
gender	the <M> gender	924
<M>	the <M> have	923
memory	the memory of <M>	921
<M>	<M> and nations	919
set	a set of <M>	919
<M>	the black <M>	912
<M>	most young <M>	911
numbers	numbers of <M>	906
sorts	all sorts and conditions of <M>	906
daughters	the daughters of <M>	904
<M>	all young <M>	903
<M>	my young <M>	899
<W>	<W> aged	898
none	none of the <W>	896
crowd	the crowd of <M>	890
<M>	their young <M>	888
<W>	the <W> and girls	887
plenty	plenty of <W>	883
<W>	all other <W>	879
<M>	<M> employed	877
<W>	<W> with children	875
leader	a leader of <M>	874
<M>	<M> of wealth	874
<M>	our fellow <M>	871
<M>	eighty <M>	869
<M>	100,000 <M>	868
<W>	the indian <W>	862
<M>	sixteen <M>	861
haunts	the haunts of <M>	858
<M>	no two <M>	858
millions	millions of <W>	858
<M>	eleven <M>	852
<M>	your young <M>	851
faces	the faces of <M>	850
<M>	a old <M>	850
salvation	the salvation of <M>	849
company	the company of <W>	847
bodies	bodies of <M>	844
<M>	<M> live	840
<M>	the new <M>	838
<M>	the <M> employed	836
<M>	the two old <M>	833
population	the <M> population	827
numbers	large numbers of <M>	822
strength	the strength of <M>	822
<M>	<M> like him	821
<W>	my <W>	821
part	the part of the <M>	821
<M>	the armed <M>	821
<W>	two young <W>	820
<M>	<M> of talent	817
<W>	the younger <W>	815
lots	lots of <W>	807
<M>	<M> of minds	806
employment	the employment of <W>	804
lesbians	lesbians and <M>	803
total	a total of <M>	802
<M>	fourteen <M>	801
<M>	30,000 <M>	797
contact	contact with <M>	792
<M>	all great <M>	791
<W>	many young <W>	789
<M>	<M> are not	788
<W>	<W> with syndrome	785
<M>	<M> made	784
dozens	dozens of <M>	782
<W>	<W> of all ages	780
experiences	the experiences of <W>	772
character	the <W> character	769
love	the love of <W>	768
gang	a gang of <M>	763
<M>	the six <M>	762
<M>	500 <M>	759
<M>	the fighting <M>	753
<M>	all the young <M>	753
blood	the blood of <M>	751
society	the society of <W>	746
head	the head of his <M>	745
tongues	the tongues of <M>	744
<M>	the <M> and boys	743
<W>	the <W> interviewed	742
<M>	the <M> worked	741
<M>	the working <M>	741
<M>	<M> only	740
conduct	the conduct of <M>	740
bird	the <M> bird	739
heads	the heads of <M>	739
<M>	<M> lived	737
couple	a couple of <W>	736
<W>	<W> with pcos	736
<M>	many good <M>	734
<M>	the three young <M>	733
passions	the passions of <M>	733
<M>	<M> as	732
garrison	a garrison of <M>	730
<M>	seventy <M>	730
characters	the characters of <M>	727
<W>	<W> themselves	727
<M>	<M> in the world	727
<M>	<M> enough	726
body	a large body of <M>	725
<M>	the medical <M>	725
number	a great number of <M>	721
sins	the sins of <M>	719
<M>	<M> coming	719
lives	the lives of the <M>	716
<W>	<W> in society	715
percentage	the percentage of <W>	714
praise	the praise of <M>	710
<W>	<W> have had	709
<M>	<M> on earth	709
<M>	the <M> had been	708
form	the <W> form	705
race	the race of <M>	704
loss	a loss of <M>	704
<M>	both young <M>	703
<M>	100 <M>	702
<M>	my own <M>	701
<M>	the <M> s	695
sorts	all sorts of <M>	694
<M>	<M> standing	690
angels	angels and <M>	690
<M>	these brave <M>	689
<M>	the <M> knew	687
<W>	six <W>	686
<W>	<W> and people	685
<M>	the <M> in the boat	682
<M>	<M> accustomed	682
group	a small group of <M>	680
<W>	<W> with a history	680
<M>	<M> have been	677
<M>	300 <M>	676
<W>	<W> taking	676
hearts	the hearts of the <M>	675
<M>	the <M> engaged	672
<M>	<M> and manners	670
works	the works of <M>	670
crowds	crowds of <M>	669
<M>	all honest <M>	668
voice	the <W> voice	664
<M>	the greatest <M>	662
class	the class of <M>	661
<M>	eighteen <M>	661
<M>	three other <M>	660
<W>	the <W> were	659
<W>	about <W>	659
body	the <M> body	657
majority	the majority of the <M>	656
consciences	the consciences of <M>	656
<M>	the poor <M>	655
<M>	not all <M>	654
<M>	a great many <M>	654
<W>	<W> in politics	654
<M>	the union <M>	652
<M>	200 <M>	651
<W>	that <W>	650
way	the way of <M>	649
man	a man among <M>	648
treatment	the treatment of <W>	645
<M>	the <M> standing	645
<M>	<M> of honour	644
<M>	the first <M>	642
<W>	the married <W>	639
multitudes	multitudes of <M>	639
<M>	the <M> fought	637
<W>	<W> only	637
<M>	both these <M>	634
<M>	<M> of experience	633
fishers	fishers of <M>	632
minds	the minds of the <M>	630
regard	regard to <W>	630
detachment	a detachment of <M>	629
<M>	<M> of means	629
<W>	<W> having	629
officers	his officers and <M>	627
<M>	you young <M>	626
multitude	a multitude of <M>	623
<W>	not all <W>	623
upwards	upwards of <M>	622
<W>	the poor <W>	620
<M>	such <M> as these	617
<M>	<M> of education	614
<M>	these four <M>	613
hearts	the hearts of all <M>	613
<W>	<W> in the states	612
<M>	<M> make	611
<M>	<M> like that	610
<W>	many other <W>	610
<M>	<M> having	609
<M>	the wisest <M>	608
masses	masses of <M>	607
figure	a <W> figure	606
<M>	as <M>	606
<M>	the leading <M>	605
<M>	gay <M> and lesbians	605
<M>	the <M> on board	604
<M>	<M> of action	601
guard	a guard of <M>	600
<W>	seven <W>	599
<M>	the <M> in the room	598
<M>	two more <M>	598
body	any body of <M>	598
<M>	the <M> did	598
<W>	even the <W>	597
<M>	<M> do	596
<W>	this <W>	596
<M>	thirteen <M>	593
<M>	the <M> around him	593
<M>	three young <M>	593
<M>	40,000 <M>	593
<W>	the <W> are	592
number	a number of the <M>	589
<M>	<M> born	589
<W>	a old <W>	588
<M>	the <M> working	588
<W>	<W> in particular	587
class	this class of <M>	587
groups	groups of <W>	585
<M>	the two white <M>	584
<W>	<W> with disease	584
number	a large number of <W>	582
<M>	those young <M>	578
line	a line of <M>	577
<W>	<W> with diabetes	576
character	the character of the <M>	576
<M>	many great <M>	573
character	the character of <M>	572
generality	the generality of <M>	571
<M>	our best <M>	571
squad	a squad of <M>	570
hands	the hands of <W>	569
images	images of <W>	569
<M>	all our <M>	566
<W>	<W> seeking	565
<M>	the <M> make	562
peace	peace with all <M>	562
numbers	large numbers of <W>	561
kind	the kind of <M>	561
<M>	50,000 <M>	560
<M>	the <M> of science	560
opinion	the opinion of <M>	559
<M>	the <M> went	558
population	the <W> population	558
mouths	the mouths of <M>	558
<M>	two white <M>	556
<M>	<M> love	556
<W>	<W> using	556
<M>	these good <M>	555
crowd	a crowd of <W>	555
condition	the condition of <W>	554
<M>	the newspaper <M>	552
lips	the lips of <M>	551
<W>	<W> in countries	550
<M>	400 <M>	549
<M>	<M> was	548
<W>	the <W> whose	547
<M>	all my <M>	547
judgment	the judgment of <M>	546
power	the power of <M>	546
<M>	<M> of war	545
needs	the needs of <W>	544
<M>	all white <M>	544
<M>	the <M> work	543
<M>	the <M> of israel	543
<M>	the medicine <M>	542
<M>	an adult <M>	541
emancipation	the emancipation of <W>	541
<M>	<M> of birth	541
<W>	<W> work	538
<M>	<M> of courage	535
shoulders	the shoulders of <M>	535
heart	the <W> heart	535
<W>	all these <W>	535
<W>	the <W> themselves	535
<M>	many other <M>	534
<M>	<M> being	534
<W>	<W> of childbearing	533
<M>	<M> of intelligence	533
<M>	the <M> in charge	532
work	the work of <W>	531
<M>	the <M> do	531
nature	the nature of <M>	531
<M>	<M> and officers	531
<M>	both the <M>	531
<M>	<M> of power	530
classes	all classes of <M>	530
<M>	the <M> was	530
hearts	the hearts of <W>	529
<M>	<M> dressed	528
<W>	<W> than	524
heads	the heads of the <M>	521
generations	generations of <M>	520
none	none of these <M>	520
<W>	<W> are not	520
<M>	a million <M>	519
<M>	<M> more	518
<M>	the <M> held	518
heir	a <M> heir	518
<M>	<M> think	516
<W>	our <W> and children	515
<W>	<W> receiving	515
<M>	the business <M>	515
habitations	the habitations of <M>	513
<M>	the <M> below	513
<M>	60,000 <M>	512
<W>	<W> want	512
faces	the <M> 's faces	512
number	a certain number of <M>	509
group	the group of <W>	509
<M>	<M> were not	508
<W>	many <W> and children	507
<M>	some other <M>	507
<M>	but <M>	506
part	the part of <W>	504
proportion	the proportion of <M>	504
colleagues	their <M> colleagues	503
<M>	the little <M>	503
<M>	the <M> all	502
<M>	<M> came	502
principle	the <W> principle	502
<W>	ten <W>	501
<M>	<M> work	500
bunch	a bunch of <M>	498
<M>	those <M> whose	496
ordination	the ordination of <W>	496
<M>	our great <M>	496
<M>	<M> of honor	494
animals	animals and <M>	492
wisdom	the wisdom of <M>	492
<M>	<M> with cancer	491
<M>	fewer <M>	491
<M>	the <M> met	490
<M>	<M> capable	489
<M>	the <M> there	488
<W>	those two <W>	488
<M>	<M> running	488
world	a world of <M>	488
<M>	<M> of god	487
friends	her <W> friends	486
history	the history of <W>	486
<M>	them <M>	486
majority	the great majority of <M>	485
<M>	several young <M>	484
<M>	15,000 <M>	482
<M>	these same <M>	482
<M>	not <M>	482
child	a <W> child	481
regard	regard to <M>	481
<M>	all those <M>	481
<M>	those <M> are	480
number	any number of <M>	480
votes	votes for <W>	479
<W>	the native <W>	478
<M>	the big <M>	477
behalf	behalf of <W>	476
<M>	many brave <M>	476
none	none but <M>	476
<W>	the four <W>	475
<M>	our public <M>	474
<W>	the <W> of the family	474
front	front of the <M>	472
<M>	two old <M>	472
<M>	not many <M>	470
bodies	the bodies of the <M>	469
<M>	the right <M>	469
language	the language of <M>	468
<M>	the <M> brought	468
<M>	all four <M>	468
oppression	the oppression of <W>	467
<M>	this <M>	467
<M>	<M> in power	466
<W>	a young <W>	466
<M>	<M> alone	466
<M>	my fellow <M>	466
<W>	two other <W>	466
voices	the voices of <W>	464
feet	the feet of <M>	464
<M>	the adult <M>	463
<M>	the <M> saw	463
number	a small number of <M>	463
<M>	most other <M>	462
difference	the difference between <M>	462
<M>	<M> and gods	460
<W>	being <W>	459
<M>	<M> of all parties	459
<W>	<W> with disabilities	458
study	a study of <W>	458
voice	the <M> voice	458
relations	the relations of <M>	457
class	that class of <M>	457
<M>	<M> like these	457
<M>	<M> is	457
<W>	<W> employed	457
<M>	<M> wearing	456
services	the services of <M>	456
<M>	all <M> to be saved	456
<M>	12,000 <M>	455
<M>	these poor <M>	454
voices	the voices of the <M>	454
case	the case with <M>	454
servants	the <W> servants	453
<M>	the <M> took	452
rest	the rest of the <W>	451
<W>	<W> in the world	451
figures	the figures of <M>	451
opportunities	opportunities for <W>	450
majority	the vast majority of <M>	449
slave	a <W> slave	449
words	the words of <M>	448
<M>	several other <M>	448
<M>	<M> carrying	448
<M>	the <M> of the world	448
death	the death of <M>	446
<M>	these two young <M>	445
ways	the ways of <W>	444
<M>	two <M> and a woman	444
<M>	the <M> stood	444
counterparts	their <W> counterparts	443
<M>	the <M> sent	443
experience	the experience of <M>	443
deeds	the deeds of <M>	442
<M>	seventeen <M>	442
<M>	these holy <M>	441
line	the line of <M>	440
<M>	150 <M>	439
<M>	all <M> in the world	439
<W>	<W> as	438
<M>	<M> of intellect	438
<M>	the <M> wrote	436
side	the <W> side	435
bodies	the bodies of <W>	434
<M>	<M> of talents	434
<W>	<W> of the world	434
<M>	the other three <M>	433
<M>	the <M> at work	432
eyes	the eyes of all <M>	432
<M>	<M> known	431
<M>	<M> believe	430
situation	the situation of <W>	430
condition	the condition of <M>	429
<W>	<W> alone	429
equality	the equality of <M>	427
likeness	the likeness of <M>	427
<W>	<W> undergoing	424
love	the love of <M>	423
<M>	the good <M>	423
<M>	<M> of property	423
<M>	his best <M>	422
<M>	<M> on horseback	422
<W>	<W> in india	422
<M>	the <M> killed	421
things	all things to all <M>	421
history	the history of <M>	421
rights	equal rights for <W>	421
<M>	<M> and dogs	420
<M>	<M> aged	419
body	no body of <M>	419
host	a host of <M>	418
eyes	the eyes of the <W>	417
<M>	only a few <M>	417
<M>	<M> like me	415
mice	mice and <M>	415
<M>	<M> thought	414
<M>	<M> want	414
saviour	the saviour of <M>	414
<M>	your own <M>	414
<M>	two <M> were	413
<M>	<M> and guns	413
tract	the <W> genital tract	413
<M>	the <M> about him	413
<M>	80,000 <M>	412
figure	the <W> figure	411
<M>	<M> of all classes	410
<M>	the <M> lived	410
commandments	the commandments of <M>	409
<W>	<W> involved	409
<M>	<M> trained	408
<M>	25,000 <M>	408
<M>	<M> armed	407
<W>	all three <W>	407
faces	the faces of the <W>	407
form	a <W> form	407
<M>	<M> belonging	406
<W>	all the <W> and children	406
education	the higher education of <W>	405
<M>	the rich <M>	404
rest	the rest of <M>	404
<M>	<M> and supplies	403
<M>	<M> of taste	403
knot	a knot of <M>	402
testimony	the testimony of <M>	402
<W>	all pregnant <W>	402
<M>	<M> in uniform	401
<M>	<M> of all ages	400
troop	a troop of <M>	400
<M>	1,000 <M>	400
<M>	the married <M>	399
<M>	these very <M>	399
<W>	<W> live	399
differences	the differences between <M>	399
<W>	<W> engaged	398
<M>	the condemned <M>	397
<M>	<M> of affairs	396
bodies	large bodies of <M>	396
<W>	nine <W>	396
presence	the presence of the <M>	395
relationships	relationships with <M>	395
<M>	<M> walking	394
<M>	a good many <M>	394
<M>	<M> of athens	394
<W>	fewer <W>	393
<M>	two such <M>	393
<W>	<W> being	393
sort	the sort of <M>	392
fate	the fate of <M>	391
minorities	minorities and <W>	391
<M>	<M> going	391
<M>	5,000 <M>	391
students	the <W> students	390
<W>	two old <W>	390
<W>	the <W> and the children	390
<M>	his two <M>	389
<M>	<M> of color	389
<M>	<M> and material	389
<W>	eight <W>	389
<M>	the mounted <M>	389
<M>	your fellow <M>	389
influence	the influence of <W>	389
<W>	all the other <W>	388
subordination	the subordination of <W>	386
<M>	all <M> living	385
<M>	<M> killed	385
set	any set of <M>	385
<M>	the holy <M>	384
mind	the <M> mind	384
empowerment	the empowerment of <W>	384
<W>	<W> with disorder	384
<M>	few young <M>	384
<W>	the <W> of the house	383
<M>	some good <M>	382
<M>	<M> in suits	382
gangs	gangs of <M>	381
<M>	half the <M>	381
<M>	the <M> of letters	380
<M>	<M> sitting	380
<M>	the <M> in front	380
nation	a nation of <M>	379
<M>	the strong <M>	379
influence	the influence of <M>	379
wives	the wives of <M>	379
<M>	the sick <M>	379
<M>	2,000 <M>	379
interests	the interests of <W>	379
%	approximately % of <W>	378
wives	other <M> 's wives	378
<M>	these old <M>	378
midst	the midst of <M>	377
number	a considerable number of <M>	377
<M>	<M> go	377
needs	the needs of <M>	377
generation	a generation of <M>	376
<M>	<M> wanted	376
employment	employment of <W>	375
<M>	both <M> and horses	375
<M>	those three <M>	375
<W>	the <W> worked	375
<M>	<M> and children	375
kinds	all kinds of <M>	375
<M>	your old <M>	374
<M>	3,000 <M>	374
<M>	almost all <M>	374
<M>	<M> of standing	374
<M>	<M> of age	373
masses	the masses of <M>	373
majority	the vast majority of <W>	372
<M>	<M> called	372
<M>	<M> fighting	372
<M>	being <M>	372
<M>	the <M> here	371
<M>	<M> of all ranks	370
<M>	<M> of will	370
<M>	<M> out	370
<M>	other great <M>	370
plight	the plight of <W>	370
<M>	several hundred <M>	369
<M>	<M> seeking	369
<W>	some young <W>	369
<W>	<W> love	369
movement	the <W> 's liberation movement	368
class	no class of <M>	367
body	a small body of <M>	367
<M>	these white <M>	367
quarters	the <W> 's quarters	367
<M>	<M> moving	367
<M>	the <M> wanted	367
<M>	the two other <M>	366
<M>	<M> holding	366
writings	the writings of <M>	366
mob	a mob of <M>	366
destinies	the destinies of <M>	366
prisoners	the <W> prisoners	365
<W>	each <W>	365
<W>	<W> with disorders	364
<M>	the <M> had come	364
thousands	many thousands of <M>	364
group	this group of <M>	364
eyes	the eyes of <W>	364
<M>	<M> used	364
<M>	many learned <M>	363
<M>	the <M> of the city	363
<W>	<W> in positions	363
<M>	a white <M>	362
<M>	their great <M>	362
<W>	<W> religious	361
<M>	2000 <M>	361
beauty	the beauty of <W>	361
masters	masters and <M>	361
<M>	the <M> know	361
<W>	the american <W>	361
<M>	the seven <M>	360
<W>	the white <W>	360
lives	lives of <M>	360
friend	a <W> friend	360
numbers	the numbers of <W>	359
ears	the ears of <M>	358
<M>	<M> of faith	358
couple	a couple of the <M>	357
equality	equality between <M>	356
pair	a pair of <M>	356
<M>	<M> have had	356
figures	figures of <M>	356
mass	the great mass of <M>	355
gaze	the <M> gaze	354
percent	only percent of <W>	354
<W>	especially the <W>	354
<M>	the chief <M>	354
reinforcement	a reinforcement of <M>	354
<W>	the <W> came	353
<M>	the strongest <M>	353
wine	wine and <W>	351
pictures	pictures of <W>	351
<M>	holy <M> of god	351
relation	relation to <M>	351
<W>	mostly <W> and children	351
<M>	6000 <M>	350
empowerment	empowerment of <W>	350
<M>	200,000 <M>	350
<M>	<M> and percent	350
<W>	<W> in science	349
bones	the bones of <M>	349
<M>	<M> and brethren	349
homes	the homes of <M>	349
<M>	the blind <M>	349
movement	the <W> 's rights movement	349
<M>	<M> of culture	348
characters	the <W> characters	348
<W>	<W> in societies	348
<M>	the <M> and horses	348
<M>	between <M>	348
<M>	the <M> behind him	347
circle	the circle of <M>	347
<W>	the human <W>	347
<M>	1000 <M>	347
<M>	<M> and events	347
<M>	<M> of distinction	347
<M>	the <M> served	347
sight	the sight of all <M>	347
<W>	<W> at risk	346
<M>	<M> there	345
<M>	3000 <M>	344
<M>	<M> willing	343
bands	bands of <M>	343
souls	souls of <M>	343
<M>	<M> and affairs	343
<M>	600 <M>	342
<W>	these poor <W>	342
<W>	<W> more	342
<M>	the <M> followed	342
<M>	<M> talking	342
<M>	thousand <M>	341
<M>	the <M> come	341
<M>	<M> believed	341
traditions	the traditions of <M>	341
<M>	the colored <M>	340
differences	differences between <M>	340
<W>	<W> like that	340
<W>	the beautiful <W>	339
attention	the attention of the <M>	339
<M>	<M> of blood	338
<W>	the <W> involved	338
<M>	each <M>	338
<M>	other white <M>	338
<M>	all thinking <M>	338
<M>	<M> of influence	337
ships	ships and <M>	337
<M>	<M> of passions	337
<M>	<M> doing	337
<M>	<M> of merit	336
relationships	relationships with <W>	336
<W>	<W> do	336
friends	his <M> friends	336
set	one set of <M>	336
<M>	the <M> in blue	335
lot	the lot of <M>	335
numbers	great numbers of <M>	335
fishers	you fishers of <M>	335
<M>	the <M> at the table	335
feelings	the feelings of <M>	335
<M>	the <M> left	335
<M>	all dead <M>	335
element	the <W> element	335
<M>	two strong <M>	334
<W>	<W> or children	334
<M>	the learned <M>	334
sound	the sound of <M>	333
participation	the participation of <W>	333
<W>	<W> suffering	332
health	the health of <W>	331
<M>	the <M> with him	331
<M>	young <M> and maidens	331
<M>	the other young <M>	330
<W>	<W> in america	330
<W>	<W> like you	330
group	this group of <W>	330
<W>	twenty <W>	330
<M>	<M> of integrity	329
<M>	the <M> of the party	329
<M>	800 <M>	329
<M>	the missing <M>	329
breast	the <W> breast	329
<M>	<M> in life	329
system	the <W> reproductive system	329
partners	their <M> partners	328
lives	the lives of these <M>	328
<M>	the hired <M>	327
labor	the labor of <M>	327
<M>	<M> held	327
<M>	the <M> live	326
<M>	the <M> loved	326
<M>	5000 <M>	326
<M>	<M> of fashion	326
<W>	the other two <W>	325
circle	a circle of <M>	325
<M>	the military <M>	325
education	the education of <M>	325
number	number of <M>	325
folks	the <W> folks	324
ranks	the ranks of <M>	324
<M>	the four young <M>	324
thousands	the thousands of <M>	323
children	children and <M>	323
heart	the heart of <M>	323
<W>	<W> with epilepsy	322
<M>	the mountain <M>	322
world	the <W> world	322
<M>	<M> of the class	322
<M>	<M> feel	321
<M>	the <M> involved	321
<W>	<W> worked	321
<M>	4000 <M>	321
<M>	all the other <M>	320
<M>	the <M> of the village	320
<M>	all <M> are	319
<M>	300,000 <M>	319
<M>	<M> themselves	319
<W>	postmenopausal <W> with cancer	319
<W>	<W> and boys	319
<M>	the <M> sitting	319
<M>	<M> possessed	319
<M>	<M> did	319
forms	the forms of <M>	318
<M>	the secret service <M>	318
number	a sufficient number of <M>	318
nature	the nature of <W>	317
<M>	the <M> of the north	316
faces	the faces of <W>	316
<M>	his merry <M>	316
<M>	all the king 's <M>	316
efforts	the efforts of <M>	316
<W>	the village <W>	315
<W>	<W> older	315
