CATEGORY,CLEANED,GENDER
20th-century_American_male_writers,20th century american male writers,M
Italian_male_painters,italian male painters,M
Male_genital_modification,male genital modification,M
Male_genital_procedures,male genital procedures,M
Men's_rights,men 's rights,M
Welsh_women,welsh women,W
Cambodian_men_by_occupation,cambodian men by occupation,M
Russian_women,russian women,W
Women's_golf_tournaments_in_the_United_States,women 's golf tournaments in the united states,W
American_male_artists,american male artists,M
17th-century_male_writers,17th century male writers,M
18th-century_male_writers,18th century male writers,M
Women's_basketball_leagues_in_the_United_States,women 's basketball leagues in the united states,W
Male_mammals,male mammals,M
Men,men,M
Female_heads_of_state,female heads of state,W
Female_royalty,female royalty,W
Women_rulers,women rulers,W
Male_murder_victims,male murder victims,M
Death_of_women,death of women,W
Female_murder_victims,female murder victims,W
Fictional_male_royalty,fictional male royalty,M
Men's_road_cycling,men 's road cycling,M
Women's_sports,women 's sports,W
French_men_by_occupation,french men by occupation,M
Spanish_men_by_occupation,spanish men by occupation,M
Women_by_occupation,women by occupation,W
Women_in_politics,women in politics,W
Women_and_sports,women and sports,W
Men_by_occupation_and_nationality,men by occupation and nationality,M
Women_and_science,women and science,W
Women_in_science_and_technology,women in science and technology,W
Women_scholars_and_academics,women scholars and academics,W
Women_scientists_by_field,women scientists by field,W
Women_in_mathematics,women in mathematics,W
Terms_for_women,terms for women,W
Women_by_social_class,women by social class,W
Terms_for_men,terms for men,M
Violence_against_women_in_England,violence against women in england,W
Women_of_the_Victorian_era,women of the victorian era,W
Portuguese_men_by_occupation,portuguese men by occupation,M
Fictional_female_royalty,fictional female royalty,W
20th-century_male_writers,20th century male writers,M
Russian_male_writers,russian male writers,M
English_women_by_rank,english women by rank,W
British_women_by_rank,british women by rank,W
Women_political_office-holders,women political office holders,W
Men_and_sexuality,men and sexuality,M
Men's_road_bicycle_races,men 's road bicycle races,M
Marvel_Comics_male_superheroes,marvel comics male superheroes,M
20th-century_Indian_male_writers,20th century indian male writers,M
Indian_male_philosophers,indian male philosophers,M
Women's_sports_teams,women 's sports teams,W
Australian_women's_rights_activists,australian women 's rights activists,W
Australian_women_activists,australian women activists,W
Women's_suffrage_in_Australia,women 's suffrage in australia,W
Former_women's_universities_and_colleges_in_the_United_States,former women 's universities and colleges in the united states,W
X-Men_supporting_characters,x men supporting characters,M
Operas_by_women_composers,operas by women composers,W
Men's_culture,men 's culture,M
Men's_movement,men 's movement,M
Women's_cricket_teams,women 's cricket teams,W
Women's_national_sports_teams,women 's national sports teams,W
20th-century_Irish_male_writers,20th century irish male writers,M
19th-century_French_male_writers,19th century french male writers,M
French_male_novelists,french male novelists,M
Male_harem_anime_and_manga,male harem anime and manga,M
Comics_about_women,comics about women,W
Female_characters_in_comics,female characters in comics,W
Greek_men_by_occupation,greek men by occupation,M
Irish_men_by_occupation,irish men by occupation,M
Female_musicians,female musicians,W
18th-century_British_women_writers,18th century british women writers,W
19th-century_British_women_writers,19th century british women writers,W
20th-century_British_women_writers,20th century british women writers,W
LGBT_male_actors,lgbt male actors,M
Women's_cricket_in_New_Zealand,women 's cricket in new zealand,W
Women_cricketers_by_nationality,women cricketers by nationality,W
New_Zealand_women_Test_cricketers,new zealand women test cricketers,W
New_Zealand_women_cricket_captains,new zealand women cricket captains,W
FIFA_competitions_for_women's_national_teams,fifa competitions for women 's national teams,W
Women's_world_championships,women 's world championships,W
UEFA_competitions_for_women's_national_teams,uefa competitions for women 's national teams,W
FIFA_Women's_World_Cup,fifa women 's world cup,W
Female_wrestlers,female wrestlers,W
Women's_professional_wrestling,women 's professional wrestling,W
Women's_suffrage,women 's suffrage,W
Boyz_II_Men,boyz ii men,M
Women_by_role,women by role,W
Women's_cricket,women 's cricket,W
Alumni_of_women's_universities_and_colleges,alumni of women 's universities and colleges,W
Chinese_women,chinese women,W
Men's_national_sports_teams_of_the_United_Kingdom,men 's national sports teams of the united kingdom,M
X-Men,x men,M
Female_bodybuilding,female bodybuilding,W
Women's_National_Basketball_Association_players,women 's national basketball association players,W
English_women_poets,english women poets,W
Victorian_women_writers,victorian women writers,W
Men's_sports_competitions,men 's sports competitions,M
Female_chess_players,female chess players,W
Women's_World_Chess_Championships,women 's world chess championships,W
Women's_chess,women 's chess,W
Ethiopian_women,ethiopian women,W
Women_rulers_in_Africa,women rulers in africa,W
Women_in_computing,women in computing,W
German_male_writers,german male writers,M
19th-century_British_women,19th century british women,W
British_women,british women,W
Women_by_period,women by period,W
Women's_suffrage_in_the_United_States,women 's suffrage in the united states,W
Women's_association_football_by_country,women 's association football by country,W
Women's_association_football_in_Europe,women 's association football in europe,W
Women's_football_in_the_United_Kingdom,women 's football in the united kingdom,W
Women's_sport_in_England,women 's sport in england,W
Men's_national_sports_teams_of_England,men 's national sports teams of england,M
20th-century_Dutch_women_writers,20th century dutch women writers,W
Men_by_behavior,men by behavior,M
Female_religious_workers,female religious workers,W
Women_by_behavior,women by behavior,W
Women's_baseball,women 's baseball,W
Women_string_musicians,women string musicians,W
French_women's_rights_activists,french women 's rights activists,W
Women's_American_football_leagues,women 's american football leagues,W
Crimes_against_women,crimes against women,W
Women's_health,women 's health,W
Male_characters_in_animation,male characters in animation,M
Iranian_women_in_politics,iranian women in politics,W
Women_in_the_Iranian_Cabinet,women in the iranian cabinet,W
Women_vice_presidents,women vice presidents,W
Women's_organizations_based_in_the_United_States,women 's organizations based in the united states,W
Women's_sport_in_Australia,women 's sport in australia,W
American_women,american women,W
American_women_in_politics,american women in politics,W
Women's_social_titles,women 's social titles,W
Women's_studies_academics,women 's studies academics,W
United_States_at_the_Men's_Olympic_Football_Tournament,united states at the men 's olympic football tournament,M
United_States_men's_international_soccer_players,united states men 's international soccer players,M
Scottish_male_writers,scottish male writers,M
Scottish_male_novelists,scottish male novelists,M
Women's_universities_and_colleges_in_the_United_States,women 's universities and colleges in the united states,W
History_of_women's_rights,history of women 's rights,W
History_of_women_in_the_United_States,history of women in the united states,W
Women's_rights_in_the_United_States,women 's rights in the united states,W
Women's_sport_in_New_Zealand,women 's sport in new zealand,W
Female_murderers,female murderers,W
Bengali_male_poets,bengali male poets,M
Programming_languages_created_by_women,programming languages created by women,W
Jungle_men,jungle men,M
Literature_by_Hispanic_and_Latino_American_women,literature by hispanic and latino american women,W
French_male_writers,french male writers,M
Women-related_WikiProjects,women related wikiprojects,W
Women_nurses,women nurses,W
Women_spies,women spies,W
Men's_basketball_coaches,men 's basketball coaches,M
Women's_National_Basketball_Association,women 's national basketball association,W
Women's_basketball_coaches,women 's basketball coaches,W
College_men's_basketball_teams_in_the_United_States,college men 's basketball teams in the united states,M
Southeastern_Conference_men's_basketball,southeastern conference men 's basketball,M
College_men's_basketball_players_in_the_United_States,college men 's basketball players in the united states,M
Female_hip_hop_musicians,female hip hop musicians,W
Big_12_Conference_men's_basketball,big 12 conference men 's basketball,M
Women's_National_Basketball_Association_coaches,women 's national basketball association coaches,W
4th-century_Chinese_women,4th century chinese women,W
Violence_against_men,violence against men,M
Female_martial_artists_by_type,female martial artists by type,W
Women's_mixed_martial_arts,women 's mixed martial arts,W
English_male_poets,english male poets,M
American_female_musicians,american female musicians,W
Female_singers_by_nationality,female singers by nationality,W
American_male_musicians,american male musicians,M
Male_singers_by_nationality,male singers by nationality,M
Women's_basketball_teams_in_the_United_States,women 's basketball teams in the united states,W
Women's_basketball_players_in_the_United_States_by_league,women 's basketball players in the united states by league,W
American_male_singers,american male singers,M
American_female_singers,american female singers,W
Pac-12_Conference_men's_basketball,pac 12 conference men 's basketball,M
College_women's_basketball_teams_in_the_United_States,college women 's basketball teams in the united states,W
UCLA_Bruins_men's_basketball,ucla bruins men 's basketball,M
College_women's_basketball_players_in_the_United_States,college women 's basketball players in the united states,W
UCLA_Bruins_women's_basketball,ucla bruins women 's basketball,W
Women_in_California,women in california,W
Women_in_arts_occupations,women in arts occupations,W
Australian_male_musicians,australian male musicians,M
Australian_female_musicians,australian female musicians,W
UTEP_Miners_men's_basketball,utep miners men 's basketball,M
Canadian_female_musicians,canadian female musicians,W
Canadian_men_by_occupation,canadian men by occupation,M
History_of_women's_rights_in_the_United_States,history of women 's rights in the united states,W
Women_and_sexuality,women and sexuality,W
Mountain_West_Conference_men's_basketball,mountain west conference men 's basketball,M
Conference_USA_men's_basketball,conference usa men 's basketball,M
Conference_USA_women's_basketball,conference usa women 's basketball,W
British_male_musicians,british male musicians,M
British_men_by_occupation,british men by occupation,M
Men's_sports_teams_in_the_United_States,men 's sports teams in the united states,M
Fictional_female_sportspeople,fictional female sportspeople,W
Oregon_State_Beavers_men's_basketball,oregon state beavers men 's basketball,M
Male_golfers,male golfers,M
Women's_golf_tournaments,women 's golf tournaments,W
Women's_rights_activists_by_nationality,women 's rights activists by nationality,W
Women-only_spaces,women only spaces,W
French_female_musicians,french female musicians,W
French_male_musicians,french male musicians,M
15th-century_French_women,15th century french women,W
Christian_female_saints_of_the_Middle_Ages,christian female saints of the middle ages,W
Female_wartime_cross-dressers,female wartime cross dressers,W
Women_in_15th-century_warfare,women in 15th century warfare,W
Women_in_medieval_European_warfare,women in medieval european warfare,W
British_female_musicians,british female musicians,W
British_female_singers,british female singers,W
English_female_musicians,english female musicians,W
Welsh_women_musicians,welsh women musicians,W
Scottish_women_by_occupation,scottish women by occupation,W
Women's_surfing,women 's surfing,W
Fictional_female_domestic_workers,fictional female domestic workers,W
British_male_singers,british male singers,M
English_male_musicians,english male musicians,M
Scottish_men_by_occupation,scottish men by occupation,M
Welsh_male_musicians,welsh male musicians,M
Welsh_men_by_occupation,welsh men by occupation,M
Atlantic_Coast_Conference_men's_basketball,atlantic coast conference men 's basketball,M
Atlantic_Coast_Conference_women's_basketball,atlantic coast conference women 's basketball,W
Virginia_Cavaliers_women's_basketball,virginia cavaliers women 's basketball,W
Virginia_Cavaliers_men's_basketball,virginia cavaliers men 's basketball,M
Stanford_Cardinal_women's_basketball,stanford cardinal women 's basketball,W
Pac-12_Conference_women's_basketball,pac 12 conference women 's basketball,W
16th-century_male_writers,16th century male writers,M
Animal_male_reproductive_system,animal male reproductive system,M
Mammal_male_reproductive_system,mammal male reproductive system,M
Stanford_Cardinal_men's_basketball,stanford cardinal men 's basketball,M
Women_physicists_by_field,women physicists by field,W
Women_in_medicine,women in medicine,W
Women_social_scientists_by_field,women social scientists by field,W
Women_medical_researchers,women medical researchers,W
Women_biologists_by_field,women biologists by field,W
Women_naturalists,women naturalists,W
Women_earth_scientists,women earth scientists,W
Women_historians,women historians,W
Fictional_female_religious_workers,fictional female religious workers,W
Women's_National_Basketball_Association_teams,women 's national basketball association teams,W
Defunct_Women's_National_Basketball_Association_teams,defunct women 's national basketball association teams,W
Sports_awards_honoring_women,sports awards honoring women,W
Danish_male_writers,danish male writers,M
Women's_American_football_teams_by_league,women 's american football teams by league,W
Women's_Professional_Football_League,women 's professional football league,W
Southeastern_Conference_women's_basketball,southeastern conference women 's basketball,W
Women_in_Louisiana,women in louisiana,W
Duke_Blue_Devils_women's_basketball,duke blue devils women 's basketball,W
Women_in_North_Carolina,women in north carolina,W
LGBT_women,lgbt women,W
Women's_sports_in_North_Carolina,women 's sports in north carolina,W
5th-century_Chinese_women,5th century chinese women,W
20th-century_American_women_politicians,20th century american women politicians,W
21st-century_American_women_politicians,21st century american women politicians,W
Women's_cricket_in_the_West_Indies,women 's cricket in the west indies,W
Women's_cricket_in_India,women 's cricket in india,W
Men's_universities_and_colleges,men 's universities and colleges,M
Men_in_the_United_States,men in the united states,M
USC_Trojans_women's_basketball,usc trojans women 's basketball,W
USC_Trojans_men's_basketball,usc trojans men 's basketball,M
Big_Ten_Conference_men's_basketball,big ten conference men 's basketball,M
Big_Ten_Conference_women's_basketball,big ten conference women 's basketball,W
Purdue_Boilermakers_women's_basketball,purdue boilermakers women 's basketball,W
Arizona_Wildcats_women's_basketball,arizona wildcats women 's basketball,W
Women_in_Arizona,women in arizona,W
Cincinnati_Bearcats_women's_basketball,cincinnati bearcats women 's basketball,W
Women_in_Ohio,women in ohio,W
American_Athletic_Conference_women's_basketball,american athletic conference women 's basketball,W
American_Athletic_Conference_men's_basketball,american athletic conference men 's basketball,M
Men_in_Florida,men in florida,M
Florida_Gators_women's_basketball,florida gators women 's basketball,W
Women_in_Florida,women in florida,W
Iowa_Hawkeyes_women's_basketball,iowa hawkeyes women 's basketball,W
Big_12_Conference_women's_basketball,big 12 conference women 's basketball,W
Kansas_Jayhawks_women's_basketball,kansas jayhawks women 's basketball,W
Maryland_Terrapins_women's_basketball,maryland terrapins women 's basketball,W
Women's_sports_in_Maryland,women 's sports in maryland,W
Men_in_Maryland,men in maryland,M
Michigan_State_Spartans_women's_basketball,michigan state spartans women 's basketball,W
Minnesota_Golden_Gophers_women's_basketball,minnesota golden gophers women 's basketball,W
North_Carolina_Tar_Heels_women's_basketball,north carolina tar heels women 's basketball,W
Ohio_State_Buckeyes_women's_basketball,ohio state buckeyes women 's basketball,W
Kansas_State_Wildcats_women's_basketball,kansas state wildcats women 's basketball,W
Kansas_State_Wildcats_men's_basketball,kansas state wildcats men 's basketball,M
Texas_Longhorns_women's_basketball,texas longhorns women 's basketball,W
Texas_Longhorns_men's_basketball,texas longhorns men 's basketball,M
Northwestern_Wildcats_men's_basketball,northwestern wildcats men 's basketball,M
Northwestern_Wildcats_women's_basketball,northwestern wildcats women 's basketball,W
UC_Santa_Barbara_Gauchos_women's_basketball,uc santa barbara gauchos women 's basketball,W
UC_Santa_Barbara_Gauchos_men's_basketball,uc santa barbara gauchos men 's basketball,M
Rutgers_Scarlet_Knights_men's_basketball,rutgers scarlet knights men 's basketball,M
Rutgers_Scarlet_Knights_women's_basketball,rutgers scarlet knights women 's basketball,W
Saint_Joseph's_Hawks_women's_basketball,saint joseph 's hawks women 's basketball,W
Atlantic_10_Conference_women's_basketball,atlantic 10 conference women 's basketball,W
Atlantic_10_Conference_men's_basketball,atlantic 10 conference men 's basketball,M
Auburn_Tigers_women's_basketball,auburn tigers women 's basketball,W
Women_in_Alabama,women in alabama,W
Auburn_Tigers_men's_basketball,auburn tigers men 's basketball,M
Vanderbilt_Commodores_women's_basketball,vanderbilt commodores women 's basketball,W
Vanderbilt_Commodores_men's_basketball,vanderbilt commodores men 's basketball,M
Alabama_Crimson_Tide_women's_basketball,alabama crimson tide women 's basketball,W
Alabama_Crimson_Tide_men's_basketball,alabama crimson tide men 's basketball,M
Notre_Dame_Fighting_Irish_women's_basketball,notre dame fighting irish women 's basketball,W
Notre_Dame_Fighting_Irish_men's_basketball,notre dame fighting irish men 's basketball,M
Florida_State_Seminoles_women's_basketball,florida state seminoles women 's basketball,W
Florida_State_Seminoles_men's_basketball,florida state seminoles men 's basketball,M
Arizona_State_Sun_Devils_women's_basketball,arizona state sun devils women 's basketball,W
Arizona_State_Sun_Devils_men's_basketball,arizona state sun devils men 's basketball,M
Nebraska_Cornhuskers_women's_basketball,nebraska cornhuskers women 's basketball,W
Nebraska_Cornhuskers_men's_basketball,nebraska cornhuskers men 's basketball,M
South_Carolina_Gamecocks_women's_basketball,south carolina gamecocks women 's basketball,W
Women_in_South_Carolina,women in south carolina,W
South_Carolina_Gamecocks_men's_basketball,south carolina gamecocks men 's basketball,M
Mississippi_State_Bulldogs_women's_basketball,mississippi state bulldogs women 's basketball,W
Mississippi_State_Bulldogs_men's_basketball,mississippi state bulldogs men 's basketball,M
DePaul_Blue_Demons_men's_basketball,depaul blue demons men 's basketball,M
DePaul_Blue_Demons_women's_basketball,depaul blue demons women 's basketball,W
Women_in_Illinois,women in illinois,W
Big_East_Conference_women's_basketball,big east conference women 's basketball,W
Big_East_Conference_men's_basketball,big east conference men 's basketball,M
Tulane_Green_Wave_women's_basketball,tulane green wave women 's basketball,W
Tulane_Green_Wave_men's_basketball,tulane green wave men 's basketball,M
Harvard_Crimson_women's_basketball,harvard crimson women 's basketball,W
Harvard_Crimson_men's_basketball,harvard crimson men 's basketball,M
Ivy_League_men's_basketball,ivy league men 's basketball,M
Women's_cricket_in_Australia,women 's cricket in australia,W
Women's_cricket_in_England,women 's cricket in england,W
Houston_Cougars_men's_basketball,houston cougars men 's basketball,M
Boston_College_Eagles_men's_basketball,boston college eagles men 's basketball,M
21st-century_men,21st century men,M
Wake_Forest_Demon_Deacons_men's_basketball,wake forest demon deacons men 's basketball,M
Pepperdine_Waves_men's_basketball,pepperdine waves men 's basketball,M
Santa_Clara_Broncos_men's_basketball,santa clara broncos men 's basketball,M
Pittsburgh_Panthers_men's_basketball,pittsburgh panthers men 's basketball,M
Creighton_Bluejays_men's_basketball,creighton bluejays men 's basketball,M
AFL_Women's_clubs,afl women 's clubs,W
Wisconsin_Badgers_men's_basketball,wisconsin badgers men 's basketball,M
Washington_State_Cougars_men's_basketball,washington state cougars men 's basketball,M
Oregon_Ducks_men's_basketball,oregon ducks men 's basketball,M
Eastern_Michigan_Eagles_men's_basketball,eastern michigan eagles men 's basketball,M
Seton_Hall_Pirates_men's_basketball,seton hall pirates men 's basketball,M
Women_artists,women artists,W
Miami_Hurricanes_men's_basketball,miami hurricanes men 's basketball,M
Wichita_State_Shockers_men's_basketball,wichita state shockers men 's basketball,M
Central_Michigan_Chippewas_men's_basketball,central michigan chippewas men 's basketball,M
Colorado_Buffaloes_men's_basketball,colorado buffaloes men 's basketball,M
Miami_RedHawks_men's_basketball,miami redhawks men 's basketball,M
George_Washington_Colonials_men's_basketball,george washington colonials men 's basketball,M
SMU_Mustangs_men's_basketball,smu mustangs men 's basketball,M
Princeton_Tigers_men's_basketball,princeton tigers men 's basketball,M
South_Florida_Bulls_men's_basketball,south florida bulls men 's basketball,M
South_Florida_Bulls_women's_basketball,south florida bulls women 's basketball,W
Men's_basketball_players,men 's basketball players,M
Bradley_Braves_men's_basketball,bradley braves men 's basketball,M
Bowling_Green_Falcons_men's_basketball,bowling green falcons men 's basketball,M
Long_Beach_State_Beach_men's_basketball,long beach state beach men 's basketball,M
Big_West_Conference_men's_basketball,big west conference men 's basketball,M
Big_West_Conference_women's_basketball,big west conference women 's basketball,W
Long_Beach_State_Beach_women's_basketball,long beach state beach women 's basketball,W
Nevada_Wolf_Pack_men's_basketball,nevada wolf pack men 's basketball,M
Ball_State_Cardinals_men's_basketball,ball state cardinals men 's basketball,M
Mid-American_Conference_women's_basketball,mid american conference women 's basketball,W
Mid-American_Conference_men's_basketball,mid american conference men 's basketball,M
Texas_A&M_Aggies_men's_basketball,texas a m aggies men 's basketball,M
Yale_Bulldogs_men's_basketball,yale bulldogs men 's basketball,M
Imperial_Russian_male_writers,imperial russian male writers,M
Saint_Louis_Billikens_men's_basketball,saint louis billikens men 's basketball,M
Female_gymnasts,female gymnasts,W
Marshall_Thundering_Herd_men's_basketball,marshall thundering herd men 's basketball,M
La_Salle_Explorers_men's_basketball,la salle explorers men 's basketball,M
Arizona_Wildcats_men's_basketball,arizona wildcats men 's basketball,M
Cincinnati_Bearcats_men's_basketball,cincinnati bearcats men 's basketball,M
Duke_Blue_Devils_men's_basketball,duke blue devils men 's basketball,M
Florida_Gators_men's_basketball,florida gators men 's basketball,M
Iowa_Hawkeyes_men's_basketball,iowa hawkeyes men 's basketball,M
Kansas_Jayhawks_men's_basketball,kansas jayhawks men 's basketball,M
Gonzaga_Bulldogs_men's_basketball,gonzaga bulldogs men 's basketball,M
West_Virginia_Mountaineers_men's_basketball,west virginia mountaineers men 's basketball,M
Washington_Huskies_men's_basketball,washington huskies men 's basketball,M
Maryland_Terrapins_men's_basketball,maryland terrapins men 's basketball,M
Michigan_State_Spartans_men's_basketball,michigan state spartans men 's basketball,M
Minnesota_Golden_Gophers_men's_basketball,minnesota golden gophers men 's basketball,M
North_Carolina_Tar_Heels_men's_basketball,north carolina tar heels men 's basketball,M
Ohio_State_Buckeyes_men's_basketball,ohio state buckeyes men 's basketball,M
Purdue_Boilermakers_men's_basketball,purdue boilermakers men 's basketball,M
Saint_Joseph's_Hawks_men's_basketball,saint joseph 's hawks men 's basketball,M
Fresno_State_Bulldogs_men's_basketball,fresno state bulldogs men 's basketball,M
Xavier_Musketeers_men's_basketball,xavier musketeers men 's basketball,M
Detroit_Mercy_Titans_men's_basketball,detroit mercy titans men 's basketball,M
St._Bonaventure_Bonnies_men's_basketball,st bonaventure bonnies men 's basketball,M
Georgetown_Hoyas_men's_basketball,georgetown hoyas men 's basketball,M
Egyptian_women,egyptian women,W
Women_rulers_of_Egypt,women rulers of egypt,W
Kentucky_Wildcats_men's_basketball,kentucky wildcats men 's basketball,M
Georgia_Tech_Yellow_Jackets_men's_basketball,georgia tech yellow jackets men 's basketball,M
Illinois_Fighting_Illini_men's_basketball,illinois fighting illini men 's basketball,M
Indiana_Hoosiers_men's_basketball,indiana hoosiers men 's basketball,M
Iowa_State_Cyclones_men's_basketball,iowa state cyclones men 's basketball,M
Loyola_Marymount_Lions_men's_basketball,loyola marymount lions men 's basketball,M
Louisville_Cardinals_men's_basketball,louisville cardinals men 's basketball,M
Oklahoma_Sooners_men's_basketball,oklahoma sooners men 's basketball,M
Providence_Friars_men's_basketball,providence friars men 's basketball,M
Villanova_Wildcats_men's_basketball,villanova wildcats men 's basketball,M
Utah_Utes_men's_basketball,utah utes men 's basketball,M
Temple_Owls_men's_basketball,temple owls men 's basketball,M
Syracuse_Orange_men's_basketball,syracuse orange men 's basketball,M
St._John's_Red_Storm_men's_basketball,st john 's red storm men 's basketball,M
San_Francisco_Dons_men's_basketball,san francisco dons men 's basketball,M
Ohio_Bobcats_men's_basketball,ohio bobcats men 's basketball,M
New_Mexico_Lobos_men's_basketball,new mexico lobos men 's basketball,M
NC_State_Wolfpack_men's_basketball,nc state wolfpack men 's basketball,M
Missouri_Tigers_men's_basketball,missouri tigers men 's basketball,M
Michigan_Wolverines_men's_basketball,michigan wolverines men 's basketball,M
Marquette_Golden_Eagles_men's_basketball,marquette golden eagles men 's basketball,M
Charlotte_49ers_men's_basketball,charlotte 49ers men 's basketball,M
Dayton_Flyers_men's_basketball,dayton flyers men 's basketball,M
New_Mexico_State_Aggies_men's_basketball,new mexico state aggies men 's basketball,M
Virginia_Tech_Hokies_men's_basketball,virginia tech hokies men 's basketball,M
Guilford_Quakers_men's_basketball,guilford quakers men 's basketball,M
NYU_Violets_men's_basketball,nyu violets men 's basketball,M
Men's_events_at_the_2006_Winter_Olympics,men 's events at the 2006 winter olympics,M
Loyola_Ramblers_men's_basketball,loyola ramblers men 's basketball,M
Mountain_West_Conference_women's_basketball,mountain west conference women 's basketball,W
Men's_major_golf_championships,men 's major golf championships,M
Female_golfers,female golfers,W
Southern_Illinois_Salukis_men's_basketball,southern illinois salukis men 's basketball,M
American_men_by_occupation,american men by occupation,M
Male_models_by_nationality,male models by nationality,M
Female-to-male_cross-dressers,female to male cross dressers,A
Dutch_women_by_occupation,dutch women by occupation,W
Japanese_men_by_occupation,japanese men by occupation,M
19th-century_American_women,19th century american women,W
Women_in_19th-century_warfare,women in 19th century warfare,W
Women_in_war_by_conflict,women in war by conflict,W
Women_in_warfare_in_North_America,women in warfare in north america,W
Women's_major_golf_championships,women 's major golf championships,W
Mexican_men_by_occupation,mexican men by occupation,M
College_men's_basketball_coaches_in_the_United_States,college men 's basketball coaches in the united states,M
West_Coast_Conference_men's_basketball,west coast conference men 's basketball,M
West_Coast_Conference_women's_basketball,west coast conference women 's basketball,W
Holy_Cross_Crusaders_men's_basketball,holy cross crusaders men 's basketball,M
Canadian_female_country_singers,canadian female country singers,W
College_women's_basketball_coaches_in_the_United_States,college women 's basketball coaches in the united states,W
Miami_Hurricanes_women's_basketball,miami hurricanes women 's basketball,W
Nevada_Wolf_Pack_women's_basketball,nevada wolf pack women 's basketball,W
Pepperdine_Waves_women's_basketball,pepperdine waves women 's basketball,W
NC_State_Wolfpack_women's_basketball,nc state wolfpack women 's basketball,W
Indiana_Hoosiers_women's_basketball,indiana hoosiers women 's basketball,W
Iona_Gaels_men's_basketball,iona gaels men 's basketball,M
Rhode_Island_Rams_men's_basketball,rhode island rams men 's basketball,M
Army_Black_Knights_men's_basketball,army black knights men 's basketball,M
Fictional_female_sex_workers,fictional female sex workers,W
Charlotte_49ers_women's_basketball,charlotte 49ers women 's basketball,W
Women's_golf_in_the_United_States,women 's golf in the united states,W
Women's_sports_organizations_in_the_United_States,women 's sports organizations in the united states,W
Women's_golf,women 's golf,W
Chinese_women_in_politics,chinese women in politics,W
18th-century_American_women,18th century american women,W
Women_in_18th-century_warfare,women in 18th century warfare,W
Kansas_City_Roos_men's_basketball,kansas city roos men 's basketball,M
CCNY_Beavers_men's_basketball,ccny beavers men 's basketball,M
Chicago_Maroons_men's_basketball,chicago maroons men 's basketball,M
Women_in_war_by_period,women in war by period,W
X-Men_in_other_media,x men in other media,M
College_men's_ice_hockey_teams_in_the_United_States,college men 's ice hockey teams in the united states,M
National_Women's_Football_Association,national women 's football association,W
College_men's_ice_hockey_coaches_in_the_United_States,college men 's ice hockey coaches in the united states,M
East_Carolina_Pirates_men's_basketball,east carolina pirates men 's basketball,M
