CATEGORY,CLEANED,YEAR_ADDED,GENDER
"Women's periodicals, Lithuanian",lithuanian women 's periodicals,2001,W
"Women novelists, South African",south african women novelists,2001,W
Latter Day Saint men,latter day saint men,2001,M
Women football players,women football players,2001,W
Older African American women,older african american women,2004,W
Learning disabled men,learning disabled men,2001,M
Men with mental disabilities,men with mental disabilities,2001,M
Women illustrators,women illustrators,2001,W
Women horse dealers,women horse dealers,2001,W
African American women critics,african american women critics,2001,W
Women band directors,women band directors,2001,W
Women telegraphers,women telegraphers,2001,W
"Women, Tarok",tarok women,2003,W
"Women authors, Cuban",cuban women authors,2001,W
"Women, Hatsa",hatsa women,2001,W
Women musicians in literature,women musicians in literature,2001,W
"Women dramatists, Scottish",scottish women dramatists,2001,W
Fencing for women,fencing for women,2001,W
Male language (Ethiopia),male language ( ethiopia ),2002,M
"Women, Okiek",okiek women,2002,W
"Women painters, Kasem",kasem women painters,2002,W
"Women authors, Bolivian",bolivian women authors,2002,W
African American men in motion pictures,african american men in motion pictures,2002,M
Jewish women authors,jewish women authors,2002,W
Female offenders in literature,female offenders in literature,2002,W
"Women poets, Turkish",turkish women poets,2002,W
"Women, Muhajir",muhajir women,2002,W
Mixtec women,mixtec women,2002,W
Bahai men,bahai men,2002,M
Women religious leaders,women religious leaders,2002,W
"Women, Nama",nama women,2002,W
Women amusement ride owners,women amusement ride owners,2002,W
Women in higher education,women in higher education,2002,W
"Women, Mafa",mafa women,2003,W
Women migrant labor,women migrant labor,2002,W
Women epigraphists,women epigraphists,2002,W
Embera women,embera women,2002,W
Women in sustainable development,women in sustainable development,2002,W
Women musicologists,women musicologists,2002,W
Indian women veterans,indian women veterans,2002,W
Salish women,salish women,2002,W
Assiniboine women,assiniboine women,2002,W
Indian women teachers,indian women teachers,2002,W
"Women authors, Belgian",belgian women authors,2002,W
Women otolaryngologists,women otolaryngologists,2002,W
Afghan American women,afghan american women,2002,W
"Women authors, Costa Rican",costa rican women authors,2002,W
Women heroes on television,women heroes on television,2002,W
Women's wit and humor,women 's wit and humor,2002,W
Cantatas (Men's voices),cantatas ( men 's voices ),2002,M
Cantatas (Women's voices),cantatas ( women 's voices ),2002,W
Women and the decorative arts,women and the decorative arts,2002,W
Retired women,retired women,2002,W
Jewish women soldiers,jewish women soldiers,2002,W
"Women authors, Icelandic",icelandic women authors,2002,W
"Women, Tamang",tamang women,2002,W
Tojolabal women,tojolabal women,2002,W
Tupinamba women,tupinamba women,2002,W
Inupiat women,inupiat women,2003,W
In-line skating for women,in line skating for women,2003,W
Young women with disabilities,young women with disabilities,2002,W
"Women novelists, Canadian",canadian women novelists,2002,W
African American women rock musicians,african american women rock musicians,2002,W
"Women, Kiranti",kiranti women,2002,W
Women booksellers,women booksellers,2002,W
Tinne women,tinne women,2002,W
"Women poets, Belizean",belizean women poets,2002,W
Male friendship in motion pictures,male friendship in motion pictures,2002,M
"Women, Kgatla",kgatla women,2002,W
"Women poets, Finnish",finnish women poets,2002,W
"Women dramatists, Canadian",canadian women dramatists,2002,W
"Women, White, in motion pictures",white women in motion pictures,2004,W
"Women, Lyela",lyela women,2002,W
"Women poets, Ecuadorian",ecuadorian women poets,2002,W
Women balloonists,women balloonists,2002,W
Technology and women,technology and women,2003,W
Self-realization in women,self realization in women,2002,W
Preaching to women,preaching to women,2002,W
Puritan men,puritan men,2002,M
Seventh-Day Adventist women,seventh day adventist women,2003,W
Colville women,colville women,2002,W
Women local officials and employees,women local officials and employees,2002,W
"Women novelists, New Zealand",new zealand women novelists,2002,W
"Women authors, Singaporean",singaporean women authors,2006,W
Women squash players,women squash players,2002,W
Indian women poets,indian women poets,2002,W
Achi women,achi women,2003,W
"Women poets, Australian",australian women poets,2002,W
Female gangs,female gangs,2002,W
Carib women in literature,carib women in literature,2002,W
Carib women,carib women,2002,W
"Women's periodicals, Finnish",finnish women 's periodicals,2002,W
"Women authors, Colombian",colombian women authors,2002,W
Female-to-male transsexuals,female to male transsexuals,2006,A
Women hockey coaches,women hockey coaches,2002,W
Exiled women authors,exiled women authors,2003,W
Female gangs in motion pictures,female gangs in motion pictures,2002,W
Gwich'in women,gwich 'in women,2002,W
Female gang members,female gang members,2003,W
Gentile women,gentile women,2003,W
"Gay men's writings, Afrikaans",afrikaans gay men 's writings,2003,M
"Gay men's writings, Argentine",argentine gay men 's writings,2003,M
Women in physics,women in physics,2003,W
Gingerbread men,gingerbread men,2003,M
Gingerbread men in art,gingerbread men in art,2003,M
Women suicide bombers,women suicide bombers,2003,W
Experience (Religion) in women,experience ( religion ) in women,2003,W
Women disaster victims,women disaster victims,2003,W
Male social workers,male social workers,2003,M
Pueblo women potters,pueblo women potters,2003,W
"Women, Birom",birom women,2003,W
African American bisexual men,african american bisexual men,2003,M
Hispanic American women civic leaders,hispanic american women civic leaders,2003,W
Indian women civic leaders,indian women civic leaders,2003,W
"Women, Khoikhoi",khoikhoi women,2003,W
Tabeguache women,tabeguache women,2003,W
Women rock music fans,women rock music fans,2003,W
"Women, Romani, in motion pictures",romani women in motion pictures,2003,W
"Women, Romani, in music",romani women in music,2003,W
"Women, Romani, in literature",romani women in literature,2003,W
Male musicians,male musicians,2003,M
Women smokejumpers,women smokejumpers,2003,W
Women and the environment,women and the environment,2003,W
"Women authors, Turkish",turkish women authors,2003,W
African American gay men,african american gay men,2003,M
Church group work with men,church group work with men,2003,M
Women death row inmates,women death row inmates,2003,W
Women tortilla industry employees,women tortilla industry employees,2003,W
Women sociology students,women sociology students,2003,W
Women's colleges in literature,women 's colleges in literature,2003,W
"Women, Mpongwe",mpongwe women,2003,W
"Women, Dagaaba",dagaaba women,2003,W
Sea kayaking for women,sea kayaking for women,2003,W
Puritan women,puritan women,2003,W
"Women, Swazi",swazi women,2003,W
"Women's periodicals, Tamil",tamil women 's periodicals,2003,W
Women presidential candidates,women presidential candidates,2003,W
Women anesthesiologists,women anesthesiologists,2003,W
Gay men in motion pictures,gay men in motion pictures,2003,M
"Women authors, Indonesian",indonesian women authors,2003,W
Women hosiery workers,women hosiery workers,2003,W
Women gold miners,women gold miners,2003,W
Northern Paiute women,northern paiute women,2003,W
Southeast Asian American women,southeast asian american women,2003,W
Male prisoners,male prisoners,2003,M
"Women authors, Estonian",estonian women authors,2004,W
"Women authors, Bulgarian",bulgarian women authors,2003,W
Women marines,women marines,2003,W
"Women authors, Puerto Rican",puerto rican women authors,2003,W
"Women poets, Telugu",telugu women poets,2003,W
Muslim women in literature,muslim women in literature,2003,W
Women netball players,women netball players,2003,W
Women anti-apartheid activists,women anti apartheid activists,2003,W
"Women dramatists, Australian",australian women dramatists,2003,W
Women judges (Islamic law),women judges ( islamic law ),2003,W
"Women, Dayak",dayak women,2003,W
Jewish gay men,jewish gay men,2003,M
Comfort women in literature,comfort women in literature,2004,W
Women's clothing,women 's clothing,2004,W
Jewish women physicians,jewish women physicians,2004,W
Physical fitness for pregnant women,physical fitness for pregnant women,2004,W
"Generative organs, Female, in art",female generative organs in art,2004,W
Women fire lookouts,women fire lookouts,2004,W
"Women authors, Peruvian",peruvian women authors,2004,W
Deaf gay men,deaf gay men,2004,M
"Women poets, Austrian",austrian women poets,2004,W
Jewish women philosophers,jewish women philosophers,2004,W
"Gay men, Black",black gay men,2004,M
Brahman women,brahman women,2004,W
Women baseball team owners,women baseball team owners,2004,W
Women poisoners,women poisoners,2004,W
Women preschool teachers,women preschool teachers,2004,W
Minority women teachers,minority women teachers,2004,W
Women school supervisors,women school supervisors,2004,W
Male preschool teachers,male preschool teachers,2004,M
Women police chiefs,women police chiefs,2004,W
Church work with older women,church work with older women,2004,W
White Mountain Apache women,white mountain apache women,2004,W
"Women, Hamtai",hamtai women,2006,W
Women's police stations,women 's police stations,2004,W
Hiking for women,hiking for women,2004,W
Women field hockey players,women field hockey players,2004,W
Catholic women artists,catholic women artists,2004,W
"Women authors, Algerian",algerian women authors,2004,W
Rural women in motion pictures,rural women in motion pictures,2004,W
African American women judges,african american women judges,2004,W
Women physicians in literature,women physicians in literature,2004,W
Women medievalists,women medievalists,2004,W
Women's shoes,women 's shoes,2004,W
Women in tourism,women in tourism,2004,W
Mexican American women labor union members,mexican american women labor union members,2004,W
Mexican American women artists,mexican american women artists,2004,W
Mexican American women performance artists,mexican american women performance artists,2004,W
Women performance artists,women performance artists,2004,W
African American women comedians,african american women comedians,2004,W
Karaite women,karaite women,2004,W
Women bounty hunters,women bounty hunters,2004,W
Mexican American women authors,mexican american women authors,2004,W
"Women, Batwa",batwa women,2004,W
Italian American women authors,italian american women authors,2005,W
Chiripá women,chiripá women,2004,W
"Women authors, Kenyan",kenyan women authors,2004,W
Protestant men,protestant men,2004,M
"Women, Banyjima",banyjima women,2005,W
Argentine American women,argentine american women,2004,W
Women detectives in mass media,women detectives in mass media,2004,W
Women humorists,women humorists,2004,W
Women lawyers in motion pictures,women lawyers in motion pictures,2004,W
Homeless men,homeless men,2004,M
Physical fitness for middle-aged women,physical fitness for middle aged women,2005,W
Exercise for middle-aged women,exercise for middle aged women,2005,W
Women industrialists,women industrialists,2004,W
Nahua women,nahua women,2004,W
Women and war in literature,women and war in literature,2004,W
Women moneylenders,women moneylenders,2004,W
"Women dramatists, Arab",arab women dramatists,2004,W
"Women authors, Sierra Leonean",sierra leonean women authors,2004,W
Autoimmune diseases in women,autoimmune diseases in women,2004,W
"Women, Akan",akan women,2004,W
Medically uninsured women,medically uninsured women,2004,W
African American women household employees in art,african american women household employees in art,2004,W
Male pregnancy,male pregnancy,2004,M
"Women, Adivasi",adivasi women,2004,W
Grief in women,grief in women,2005,W
Grief in men,grief in men,2005,M
College sports for women,college sports for women,2004,W
Korean American women in literature,korean american women in literature,2005,W
Japanese American women household employees,japanese american women household employees,2005,W
Gay men on television,gay men on television,2005,M
Heterosexual women on television,heterosexual women on television,2005,W
Heterosexual women in motion pictures,heterosexual women in motion pictures,2005,W
"Gay men's writings, South African (English)",south african ( english ) gay men 's writings,2004,M
"Women, Anglo-Indian",anglo indian women,2004,W
Women coffee industry employees,women coffee industry employees,2004,W
Women in the Book of Mormon,women in the book of mormon,2005,W
Mexican American women household employees,mexican american women household employees,2009,W
Central American American women household employees,central american american women household employees,2005,W
Choctaw women,choctaw women,2005,W
Poker for women,poker for women,2005,W
Catholic women's colleges,catholic women 's colleges,2005,W
African American male college students,african american male college students,2004,M
Hispanic American women healers,hispanic american women healers,2005,W
Catholic women authors,catholic women authors,2005,W
African American women college students,african american women college students,2009,W
Asian American women college teachers,asian american women college teachers,2005,W
Women saints in art,women saints in art,2005,W
Women prophets in literature,women prophets in literature,2005,W
Women in video games,women in video games,2005,W
Overweight women in literature,overweight women in literature,2005,W
Women gynecologists,women gynecologists,2005,W
Japanese American women soldiers,japanese american women soldiers,2005,W
Onondaga women,onondaga women,2005,W
"Women, Walmajarri",walmajarri women,2005,W
Women air traffic controllers,women air traffic controllers,2005,W
Women Asianists,women asianists,2005,W
Women Middle East specialists,women middle east specialists,2005,W
"Women, Gogo",gogo women,2005,W
Chronic pain in women,chronic pain in women,2005,W
"Women poets, Uruguayan",uruguayan women poets,2005,W
"Women poets, Cuban",cuban women poets,2005,W
Women scientists in motion pictures,women scientists in motion pictures,2005,W
Discounts for women,discounts for women,2005,W
"Women's periodicals, African",african women 's periodicals,2005,W
Women poker players,women poker players,2005,W
"Women, Loma",loma women,2005,W
Mexican American women politicians,mexican american women politicians,2005,W
"Women poets, Portuguese",portuguese women poets,2005,W
Women in the Southern Baptist Convention,women in the southern baptist convention,2005,W
"Women, Pedi",pedi women,2005,W
Male homosexuality in music,male homosexuality in music,2005,M
Women break dancers,women break dancers,2005,W
Dance for women,dance for women,2005,W
Break dancing for women,break dancing for women,2005,W
Baseball for women,baseball for women,2005,W
"Women healers, Medieval",medieval women healers,2005,W
Women caregivers,women caregivers,2005,W
Catholic gay men,catholic gay men,2005,M
Christian gay men,christian gay men,2005,M
Women war correspondents,women war correspondents,2005,W
Women bishops,women bishops,2006,W
Social work with rural women,social work with rural women,2005,W
Women in the wine industry,women in the wine industry,2005,W
Women pianists,women pianists,2005,W
Working class men,working class men,2005,M
"Men, Black, in motion pictures",black men in motion pictures,2005,M
Single heterosexual women,single heterosexual women,2005,W
"Women dramatists, Korean",korean women dramatists,2005,W
Kekchi women,kekchi women,2005,W
Jamaican American women,jamaican american women,2005,W
Shipibo-Conibo women,shipibo conibo women,2005,W
"Women, Huli",huli women,2005,W
Women television writers,women television writers,2005,W
Women athletes in literature,women athletes in literature,2005,W
Women in the social sciences,women in the social sciences,2005,W
Hispanic American women legislators,hispanic american women legislators,2006,W
Women sales personnel in literature,women sales personnel in literature,2005,W
"Women's periodicals, Philippine",philippine women 's periodicals,2005,W
Male early childhood teachers,male early childhood teachers,2006,M
Female assassins,female assassins,2006,W
African American women civic leaders,african american women civic leaders,2005,W
Men's wrist watches,men 's wrist watches,2005,M
All-male adult movie theaters,all male adult movie theaters,2005,M
"Women authors, Czech",czech women authors,2006,W
Women forensic pathologists,women forensic pathologists,2005,W
Young gay men,young gay men,2005,M
Female masturbation,female masturbation,2005,W
"Men, White, in motion pictures",white men in motion pictures,2006,M
Male homosexuality in motion pictures,male homosexuality in motion pictures,2005,M
Older women automobile drivers,older women automobile drivers,2005,W
Women figure skaters,women figure skaters,2005,W
HIV-positive gay men,hiv positive gay men,2005,M
HIV-positive bisexual men,hiv positive bisexual men,2005,M
"Gay men, White",white gay men,2005,M
Canelo women,canelo women,2006,W
Swedish American women,swedish american women,2006,W
Women prisoners of war,women prisoners of war,2006,W
Women in fisheries,women in fisheries,2006,W
Male immigrants,male immigrants,2006,M
"Women, Garo",garo women,2006,W
Women college students in literature,women college students in literature,2006,W
"Women, Handa",handa women,2006,W
Women and the mafia,women and the mafia,2006,W
Women (Assyro-Babylonian law),women ( assyro babylonian law ),2006,W
"Women authors, Nepali",nepali women authors,2006,W
Aguaruna women,aguaruna women,2006,W
Creative ability in women,creative ability in women,2006,W
"Women, Hamar",hamar women,2006,W
Women's restrooms,women 's restrooms,2006,W
Male-to-female transsexuals,male to female transsexuals,2006,A
African American women employees,african american women employees,2006,W
"Women, Somali",somali women,2006,W
"Women novelists, Moroccan",moroccan women novelists,2006,W
"Women poets, Chilean",chilean women poets,2006,W
"Women dramatists, Mexican",mexican women dramatists,2006,W
"Gay men's writings, Philippine",philippine gay men 's writings,2006,M
Women journalists in literature,women journalists in literature,2006,W
Women employees on television,women employees on television,2006,W
Gullah women,gullah women,2006,W
Women jewelers,women jewelers,2006,W
Men's products,men 's products,2006,M
Women organists,women organists,2006,W
Indian women in motion pictures,indian women in motion pictures,2006,W
Women radio producers and directors,women radio producers and directors,2006,W
African American women heroes in motion pictures,african american women heroes in motion pictures,2006,W
African American women heroes,african american women heroes,2006,W
Male teachers,male teachers,2006,M
Men in education,men in education,2006,M
Jewish women in art,jewish women in art,2006,W
Minority women in higher education,minority women in higher education,2006,W
Women vintners,women vintners,2006,W
"Women authors, Cambodian",cambodian women authors,2006,W
Male cooks,male cooks,2006,M
"Women novelists, Chinese",chinese women novelists,2006,W
"Women novelists, Irish",irish women novelists,2006,W
African American women evangelists,african american women evangelists,2006,W
Minority women college administrators,minority women college administrators,2006,W
"Women, Romani, in popular culture",romani women in popular culture,2006,W
Leadership in minority women,leadership in minority women,2008,W
Hispanic American women in mass media,hispanic american women in mass media,2006,W
Mexican American women in motion pictures,mexican american women in motion pictures,2006,W
"Women, Oyo",oyo women,2006,W
Male insecurity,male insecurity,2006,M
Male domination (Social structure),male domination ( social structure ),2006,M
Chronically ill older women,chronically ill older women,2006,W
Indian women activists,indian women activists,2006,W
Sudanese American women,sudanese american women,2006,W
"Women, Kisi (Tanzania)",kisi ( tanzania ) women,2006,W
Jewish women in motion pictures,jewish women in motion pictures,2006,W
"Women, Iraqw",iraqw women,2006,W
Women and anarchism,women and anarchism,2006,W
Lebanese American women,lebanese american women,2006,W
Multiracial women,multiracial women,2006,W
Indian women wood-carvers,indian women wood carvers,2006,W
"Women authors, Croatian",croatian women authors,2007,W
Women in Tantrism,women in tantrism,2006,W
Hindu women in literature,hindu women in literature,2007,W
Women immigrants in literature,women immigrants in literature,2007,W
Young men in art,young men in art,2006,M
Kamia women,kamia women,2006,W
Paipai women,paipai women,2006,W
Seventh-Day Adventist men,seventh day adventist men,2006,M
Male artists,male artists,2006,M
Asian American women in motion pictures,asian american women in motion pictures,2007,W
Pregnant women in advertising,pregnant women in advertising,2007,W
Women harpsichordists,women harpsichordists,2006,W
Self-actualization (Psychology) in women,self actualization ( psychology ) in women,2007,W
Young bisexual men,young bisexual men,2006,M
Women Nobel Prize winners,women nobel prize winners,2006,W
Women oceanographers,women oceanographers,2007,W
Plus-size women's clothing,plus size women 's clothing,2007,W
Plus-size women's clothing industry,plus size women 's clothing industry,2007,W
"Gay men's writings, Mexican",mexican gay men 's writings,2007,M
African American women in popular culture,african american women in popular culture,2007,W
Ho-Chunk women,ho chunk women,2007,W
Mexican American women labor leaders,mexican american women labor leaders,2007,W
Men's underwear,men 's underwear,2007,M
Women heroes in motion pictures,women heroes in motion pictures,2007,W
Women and Christian union,women and christian union,2007,W
Female infanticide,female infanticide,2007,W
Self-management (Psychology) for women,self management ( psychology ) for women,2007,W
"Women poets, Polish",polish women poets,2007,W
Women Indianists,women indianists,2007,W
"Women musicians, Black",black women musicians,2007,W
Women spies on television,women spies on television,2007,W
Women spies in motion pictures,women spies in motion pictures,2007,W
Women choreographers,women choreographers,2007,W
"Women, Mbugwe",mbugwe women,2007,W
"Women, Kasem",kasem women,2007,W
"Women, Gambaye",gambaye women,2007,W
Japanese American women legislators,japanese american women legislators,2007,W
"Women authors, Ugandan",ugandan women authors,2007,W
Women fantasy gamers,women fantasy gamers,2007,W
Female genital mutilation in literature,female genital mutilation in literature,2007,W
Women daredevils,women daredevils,2007,W
Women taxicab drivers,women taxicab drivers,2007,W
Women motion picture editors,women motion picture editors,2007,W
Men and literature,men and literature,2007,M
Women drug addicts,women drug addicts,2007,W
"Women authors, Gujarati",gujarati women authors,2007,W
Métis women artists,métis women artists,2007,W
"Women dramatists, Persian",persian women dramatists,2007,W
Jewish women college teachers,jewish women college teachers,2007,W
Women orange industry workers,women orange industry workers,2007,W
Women skiers,women skiers,2007,W
"Women, Yi, in art",yi women in art,2007,W
"Women, Yi",yi women,2007,W
"Women, Asmat",asmat women,2007,W
"Women authors, White",white women authors,2007,W
"Women's periodicals, Czech",czech women 's periodicals,2007,W
Pregnant women (Islamic law),pregnant women ( islamic law ),2007,W
African American women cartoonists,african american women cartoonists,2007,W
Women prisoners in art,women prisoners in art,2007,W
Women glassworkers,women glassworkers,2007,W
African American women golfers,african american women golfers,2007,W
African American young women,african american young women,2007,W
"Women poets, Slovenian",slovenian women poets,2007,W
"Women poets, Slovak",slovak women poets,2007,W
"Women, Black, in motion pictures",black women in motion pictures,2007,W
Italian American women governors,italian american women governors,2007,W
"Gay men's writings, Indic",indic gay men 's writings,2007,M
"Gay men's writings, Indic (English)",indic ( english ) gay men 's writings,2007,M
Video games for women,video games for women,2008,W
"Women, Meithei",meithei women,2007,W
Male strippers,male strippers,2007,M
"Women poets, Azerbaijani",azerbaijani women poets,2007,W
"Women, Chakma",chakma women,2007,W
"Women, Rohingya",rohingya women,2007,W
Women conservatives,women conservatives,2007,W
Multiracial women in literature,multiracial women in literature,2008,W
Asian American women authors,asian american women authors,2008,W
Yuchi women,yuchi women,2008,W
"Women's periodicals, Thai",thai women 's periodicals,2008,W
Women consumers in literature,women consumers in literature,2008,W
Large-breasted women,large breasted women,2008,W
"Women's periodicals, New Zealand",new zealand women 's periodicals,2008,W
"Gay men's writings, Scottish",scottish gay men 's writings,2008,M
Women community health aides,women community health aides,2008,W
Women in the Church of God in Christ,women in the church of god in christ,2008,W
African American women in church work,african american women in church work,2008,W
Women athletic trainers,women athletic trainers,2008,W
Otomi women,otomi women,2008,W
Women gladiators,women gladiators,2008,W
Jewish women librarians,jewish women librarians,2008,W
Winnebago women,winnebago women,2008,W
Women musical theater producers and directors,women musical theater producers and directors,2008,W
Assyrian women,assyrian women,2008,W
"Women poets, Hungarian",hungarian women poets,2008,W
"Women, Bira",bira women,2008,W
Women Nazis,women nazis,2008,W
"Women authors, Persian",persian women authors,2008,W
Uncircumcised men,uncircumcised men,2008,M
Male high school teachers,male high school teachers,2008,M
Women tattoo artists,women tattoo artists,2008,W
Women Arabists,women arabists,2008,W
"Women, Dorze",dorze women,2008,W
Indian women dramatists,indian women dramatists,2008,W
Women commercial artists,women commercial artists,2008,W
Women blue collar workers,women blue collar workers,2008,W
Male blue collar workers,male blue collar workers,2008,M
"Women, Ukrainian",ukrainian women,2008,W
Women pharmacists,women pharmacists,2008,W
Obesity in men,obesity in men,2008,M
Women college athletes,women college athletes,2008,W
African American women librarians,african american women librarians,2008,W
African American women scholars,african american women scholars,2008,W
Filipino American women college students,filipino american women college students,2008,W
"Women authors, Zimbabwean",zimbabwean women authors,2008,W
Jewish men in literature,jewish men in literature,2008,M
Asian American men in motion pictures,asian american men in motion pictures,2008,M
Women prophets on television,women prophets on television,2008,W
Women psychics on television,women psychics on television,2008,W
Women psychics,women psychics,2008,W
Huilliche women,huilliche women,2008,W
Women rap musicians,women rap musicians,2008,W
Women soccer referees,women soccer referees,2008,W
Emotional maturity in men,emotional maturity in men,2008,M
Latter Day Saint women missionaries,latter day saint women missionaries,2009,W
Heterosexual men in motion pictures,heterosexual men in motion pictures,2008,M
Interpersonal communication in men,interpersonal communication in men,2008,M
Women television viewers,women television viewers,2010,W
Indian women in art,indian women in art,2008,W
Muslim women in motion pictures,muslim women in motion pictures,2008,W
Advertising and women,advertising and women,2008,W
Women community college presidents,women community college presidents,2008,W
"Women authors, Uruguayan",uruguayan women authors,2008,W
Women cigar makers,women cigar makers,2008,W
Dominican American women,dominican american women,2008,W
Women and the security sector,women and the security sector,2008,W
Women in natural resources management,women in natural resources management,2008,W
Women silk industry workers in literature,women silk industry workers in literature,2008,W
Women long-distance runners,women long distance runners,2008,W
Asian American gay men,asian american gay men,2008,M
Druze women,druze women,2008,W
Women radio talk show hosts,women radio talk show hosts,2008,W
"Women, Siddi",siddi women,2009,W
Female feticide,female feticide,2008,W
Women presidents in motion pictures,women presidents in motion pictures,2009,W
Women presidents on television,women presidents on television,2009,W
Women jazz musicians in motion pictures,women jazz musicians in motion pictures,2009,W
Korean American women authors,korean american women authors,2009,W
Indian women shamans,indian women shamans,2009,W
"Women, Bamileke",bamileke women,2009,W
Japanese American women teachers,japanese american women teachers,2009,W
Women in Zoroastrianism,women in zoroastrianism,2009,W
Women air pilots in literature,women air pilots in literature,2009,W
Women team handball players,women team handball players,2009,W
Tai chi for women,tai chi for women,2009,W
"Women poets, Kurdish",kurdish women poets,2009,W
Hispanic American women college students,hispanic american women college students,2009,W
Zoroastrian women,zoroastrian women,2009,W
Indian men,indian men,2009,M
Yavapai women,yavapai women,2009,W
Women plantation workers,women plantation workers,2009,W
Women philologists,women philologists,2009,W
"Women authors, Jordanian",jordanian women authors,2009,W
Miskito women,miskito women,2009,W
Indian women air pilots,indian women air pilots,2009,W
"Women, Nyarafolo",nyarafolo women,2009,W
Women teachers on radio,women teachers on radio,2009,W
Women hermits,women hermits,2009,W
Women ethnobotanists,women ethnobotanists,2009,W
"Women's periodicals, Irish",irish women 's periodicals,2009,W
Tarahumara women,tarahumara women,2009,W
Hutterite women,hutterite women,2009,W
"Women authors, Romanian",romanian women authors,2009,W
Women chief information officers,women chief information officers,2009,W
Female high school athletes,female high school athletes,2009,W
Inuit women in motion pictures,inuit women in motion pictures,2009,W
Internet and gay men,internet and gay men,2009,M
Internet and bisexual men,internet and bisexual men,2009,M
Women typographers,women typographers,2009,W
